entity_id	total_population	buddhist	hindu	islam	roman_catholic	other_christian	other
EC-20C	199947.0	195912.0	1463.0	1625.0	504.0	434.0	9.0
EC-21A	111257.0	100793.0	5309.0	3774.0	853.0	523.0	5.0
EC-21B	156785.0	138095.0	9099.0	7042.0	1623.0	906.0	20.0
EC-21C	111240.0	89331.0	19187.0	549.0	1165.0	998.0	10.0
EC-21D	140438.0	112683.0	17091.0	6298.0	2969.0	1391.0	6.0
EC-21E	134039.0	113935.0	14399.0	3201.0	1489.0	995.0	20.0
EC-21F	138256.0	113456.0	20016.0	2282.0	1598.0	900.0	4.0
EC-21G	90822.0	78335.0	11292.0	108.0	311.0	770.0	6.0
EC-21H	180667.0	175411.0	4079.0	104.0	582.0	487.0	4.0
EC-22A	113056.0	102661.0	3065.0	6326.0	677.0	320.0	7.0
EC-22B	84968.0	79706.0	3137.0	1199.0	579.0	337.0	10.0
EC-22C	88998.0	83529.0	2017.0	1228.0	1576.0	640.0	8.0
EC-22D	82769.0	75323.0	811.0	2851.0	1326.0	2453.0	5.0
EC-22E	119029.0	81239.0	1084.0	36138.0	358.0	207.0	3.0
EC-22F	63018.0	58361.0	1260.0	3104.0	153.0	136.0	4.0
EC-22G	97713.0	73596.0	19089.0	2926.0	1092.0	1010.0	0.0
EC-22H	99127.0	83051.0	6698.0	7225.0	1502.0	644.0	7.0
EC-22I	91970.0	72451.0	17189.0	167.0	1514.0	639.0	10.0
