id	dsd_id	name	province_id	district_id	centroid	population
LK-4104	LK-4104	Karainagar	LK-4	LK-41	[9.735371974942215, 79.87539724151543]	9576.0
LK-4106	LK-4106	Valikamam West (Chankanai)	LK-4	LK-41	[9.741461871517487, 79.94593541991168]	46438.0
LK-4109	LK-4109	Valikamam South-West (Sandilipay)	LK-4	LK-41	[9.750608151976314, 79.98090345875421]	52269.0
LK-4112	LK-4112	Valikamam North (Tellipallai)	LK-4	LK-41	[9.78895344542726, 80.04074293910455]	29518.0
LK-4115	LK-4115	Valikamam South (Uduvil)	LK-4	LK-41	[9.744411702170972, 80.03444170211135]	53016.0
LK-4118	LK-4118	Valikamam East (Kopay)	LK-4	LK-41	[9.740128600063022, 80.09331410840477]	73225.0
LK-4121	LK-4121	Vadamaradchi South-West (Karaveddy)	LK-4	LK-41	[9.77959710476364, 80.18608126130151]	45730.0
LK-4124	LK-4124	Vadamaradchi East	LK-4	LK-41	[9.627061330748935, 80.39934204080743]	12766.0
LK-4127	LK-4127	Vadamaradchi North (Point Pedro)	LK-4	LK-41	[9.808337990586766, 80.22029563187041]	47565.0
LK-4130	LK-4130	Thenmaradchi (Chavakachcheri)	LK-4	LK-41	[9.673114645579274, 80.19106301777819]	64704.0
LK-4133	LK-4133	Nallur	LK-4	LK-41	[9.668059668489187, 80.04886932757623]	68142.0
LK-4136	LK-4136	Jaffna	LK-4	LK-41	[9.663054483788512, 80.02150798643956]	50491.0
LK-4139	LK-4139	Island South (Velanai)	LK-4	LK-41	[9.62149408910939, 79.89291123428733]	16742.0
LK-4142	LK-4142	Delft	LK-4	LK-41	[9.510373510207447, 79.68771367858076]	3824.0
LK-4203	LK-4203	Mannar Town	LK-4	LK-42	[8.99139725261298, 79.88634027259577]	51078.0
LK-4206	LK-4206	Manthai West	LK-4	LK-42	[9.027235898316967, 80.11193084645826]	14771.0
LK-4209	LK-4209	Madhu	LK-4	LK-42	[8.845256758017792, 80.2253237676826]	7711.0
LK-4212	LK-4212	Nanattan	LK-4	LK-42	[8.838860875894955, 79.99042627892256]	17891.0
LK-4215	LK-4215	Musali	LK-4	LK-42	[8.676405482419034, 80.0207061799516]	8119.0
LK-4303	LK-4303	Vavuniya North	LK-4	LK-43	[9.007359204538366, 80.5687860977733]	11523.0
LK-4306	LK-4306	Vavuniya South	LK-4	LK-43	[8.736456810196263, 80.51366590846456]	13118.0
LK-4309	LK-4309	Vavuniya	LK-4	LK-43	[8.833717769530688, 80.45654929018093]	117533.0
LK-4312	LK-4312	Vengalacheddikulam	LK-4	LK-43	[8.692202435911087, 80.29692440714506]	29886.0
LK-4403	LK-4403	Thunukkai	LK-4	LK-44	[9.221403075378399, 80.28693820584368]	9699.0
LK-4406	LK-4406	Manthai East	LK-4	LK-44	[9.052860914730012, 80.30958392428836]	7117.0
LK-4409	LK-4409	Puthukkudiyiruppu	LK-4	LK-44	[9.308156095687975, 80.61613639275886]	23824.0
LK-4412	LK-4412	Oddusuddan	LK-4	LK-44	[9.187263424359466, 80.53200497020684]	15721.0
LK-4415	LK-4415	Maritimepattu	LK-4	LK-44	[9.165107525343775, 80.7918781465518]	28928.0
LK-4418	LK-4418	Welioya	LK-4	LK-44	[8.975934234131723, 80.77063196683558]	6904.0
LK-4503	LK-4503	Pachchilaipalli	LK-4	LK-45	[9.587893157352239, 80.35662971540754]	8530.0
LK-4506	LK-4506	Kandavalai	LK-4	LK-45	[9.443373288750106, 80.48148816961948]	23194.0
LK-4509	LK-4509	Karachchi	LK-4	LK-45	[9.36973210479412, 80.37025115782404]	61484.0
LK-4512	LK-4512	Poonakary	LK-4	LK-45	[9.383996783100642, 80.18037658689126]	20302.0
LK-5103	LK-5103	Koralai Pattu North (Vaharai)	LK-5	LK-51	[8.084463641021777, 81.39499205294092]	21537.0
LK-5104	LK-5104	Koralai Pattu Central	LK-5	LK-51	[7.959820046654017, 81.41831761131472]	25687.0
LK-5106	LK-5106	Koralai Pattu  West (Oddamavadi)	LK-5	LK-51	[7.92199795692761, 81.49420596616885]	22182.0
LK-5109	LK-5109	Koralai Pattu (Valachchenai)	LK-5	LK-51	[7.906565676602987, 81.54587508074545]	23376.0
LK-5110	LK-5110	Koralai Pattu South (Kiran)	LK-5	LK-51	[7.861650656000279, 81.37602502011862]	26143.0
LK-5112	LK-5112	Eravur Pattu	LK-5	LK-51	[7.710044679265869, 81.4681662767796]	75478.0
LK-5115	LK-5115	Eravur Town	LK-5	LK-51	[7.777229191958361, 81.60524275051105]	24643.0
LK-5118	LK-5118	Manmunai North	LK-5	LK-51	[7.723674028456348, 81.68809168323331]	86227.0
LK-5121	LK-5121	Manmunai West	LK-5	LK-51	[7.632147552604481, 81.59728129162221]	28489.0
LK-5124	LK-5124	Kattankudy	LK-5	LK-51	[7.682747251124858, 81.73211925243301]	40356.0
LK-5127	LK-5127	Manmunai Pattu (Araipattai)	LK-5	LK-51	[7.639400867051593, 81.75336613075271]	30694.0
LK-5130	LK-5130	Manmunai South-West	LK-5	LK-51	[7.564351747838688, 81.65459509621519]	24726.0
LK-5133	LK-5133	Porativu Pattu	LK-5	LK-51	[7.499588582185809, 81.70680545058417]	36222.0
LK-5136	LK-5136	Manmunai South & Eruvil pattu	LK-5	LK-51	[7.521668168358632, 81.79130625372407]	60807.0
LK-5203	LK-5203	Dehiattakandiya	LK-5	LK-52	[7.623935992232631, 81.08679358431927]	60178.0
LK-5206	LK-5206	Padiyathalawa	LK-5	LK-52	[7.426947776080784, 81.26225424883083]	18290.0
LK-5209	LK-5209	Mahaoya	LK-5	LK-52	[7.562786425127683, 81.34875332900323]	20828.0
LK-5212	LK-5212	Uhana	LK-5	LK-52	[7.397682685829341, 81.59414582947345]	58325.0
LK-5215	LK-5215	Ampara	LK-5	LK-52	[7.272771809067482, 81.5913445580092]	43829.0
LK-5216	LK-5216	Navithanveli	LK-5	LK-52	[7.413209882906634, 81.76556347322835]	18727.0
LK-5218	LK-5218	Samanthurai	LK-5	LK-52	[7.327002000044041, 81.76383182931062]	60465.0
LK-5221	LK-5221	Kalmunai Tamil Division	LK-5	LK-52	[7.4239797391309095, 81.81549725768453]	29800.0
LK-5224	LK-5224	Kalmunai	LK-5	LK-52	[7.41684813863553, 81.82249332370337]	44632.0
LK-5225	LK-5225	Sainthamaruthu	LK-5	LK-52	[7.386614465232207, 81.83141323722407]	25461.0
LK-5227	LK-5227	Karaitheevu	LK-5	LK-52	[7.371218406010764, 81.83697508301888]	16839.0
LK-5230	LK-5230	Ninthavur	LK-5	LK-52	[7.331614536218275, 81.84091082573474]	26361.0
LK-5233	LK-5233	Addalachchenai	LK-5	LK-52	[7.273511872998085, 81.8213785684097]	41968.0
LK-5234	LK-5234	Irakkamam	LK-5	LK-52	[7.242420355339811, 81.72981461370034]	14383.0
LK-5236	LK-5236	Akkaraipattu	LK-5	LK-52	[7.216869261345856, 81.78865881054126]	39166.0
LK-5239	LK-5239	Alayadiwembu	LK-5	LK-52	[7.177988859658811, 81.80189700112753]	22458.0
LK-5242	LK-5242	Damana	LK-5	LK-52	[7.139893214107199, 81.62778439287851]	38692.0
LK-5245	LK-5245	Thirukkovil	LK-5	LK-52	[7.076700380794028, 81.77309812413635]	25277.0
LK-5248	LK-5248	Pothuvil	LK-5	LK-52	[6.941703931036187, 81.80015692907698]	34809.0
LK-5251	LK-5251	Lahugala	LK-5	LK-52	[6.751389425819924, 81.698622669202]	8914.0
LK-5303	LK-5303	Padavi Sri Pura	LK-5	LK-53	[8.915611915155665, 80.85212034380312]	11882.0
LK-5306	LK-5306	Kuchchaveli	LK-5	LK-53	[8.808169973972339, 81.04785390080954]	33218.0
LK-5309	LK-5309	Gomarankadawala	LK-5	LK-53	[8.745844506622825, 80.95944303182695]	7382.0
LK-5312	LK-5312	Morawewa	LK-5	LK-53	[8.620076916350273, 81.0222856229631]	7968.0
LK-5315	LK-5315	Trincomalee Town and Gravets	LK-5	LK-53	[8.583286965692446, 81.17460150025867]	97487.0
LK-5318	LK-5318	Thambalagamuwa	LK-5	LK-53	[8.492791452208618, 81.04953474740917]	28527.0
LK-5321	LK-5321	Kanthale	LK-5	LK-53	[8.345953718495336, 81.05671494179128]	46802.0
LK-5324	LK-5324	Kinniya	LK-5	LK-53	[8.432267955164336, 81.1632664579596]	64613.0
LK-5327	LK-5327	Muttur	LK-5	LK-53	[8.430436880777831, 81.290461862273]	56621.0
LK-5330	LK-5330	Seruvila	LK-5	LK-53	[8.29820546441368, 81.25146573929663]	13632.0
LK-5333	LK-5333	Verugal (Eachchilampattu)	LK-5	LK-53	[8.297136879431658, 81.34739630567813]	11409.0
