id	lg_id	name	province_id	district_id	centroid	population
LG-61003	LG-61003	Maho PS	LK-6	LK-61	[7.841671, 80.267025]	80363
LG-61004	LG-61004	Nikaweratiya PS	LK-6	LK-61	[7.80372, 80.104124]	83608
LG-61005	LG-61005	Polpithigama PS	LK-6	LK-61	[7.803197, 80.427562]	76139
LG-61006	LG-61006	Ibbagamuwa PS	LK-6	LK-61	[7.633611, 80.43063]	125098
LG-61007	LG-61007	Wariyapola PS	LK-6	LK-61	[7.621638, 80.244193]	97642
LG-61008	LG-61008	Kobeigane PS	LK-6	LK-61	[7.684314, 80.100883]	35975
LG-61009	LG-61009	Bingiriya PS	LK-6	LK-61	[7.606987, 79.969112]	62349
LG-61010	LG-61010	Paduwasnuwara PS	LK-6	LK-61	[7.584056, 80.101992]	96128
LG-61011	LG-61011	Kurunegala PS	LK-6	LK-61	[7.510827, 80.357652]	142818
LG-61012	LG-61012	Kurunegala MC	LK-6	LK-61	[7.487216, 80.364765]	24833
LG-61013	LG-61013	Mawathagama PS	LK-6	LK-61	[7.425132, 80.446323]	64074
LG-61014	LG-61014	Rideegama PS	LK-6	LK-61	[7.517394, 80.518851]	88714
LG-61015	LG-61015	Polgahawela PS	LK-6	LK-61	[7.418582, 80.291438]	99495
LG-61016	LG-61016	Kuliyapitiya PS	LK-6	LK-61	[7.471831, 80.102546]	125825
LG-61017	LG-61017	Kuliyapitiya UC	LK-6	LK-61	[7.468898, 80.03536]	5553
LG-61018	LG-61018	Udubaddawa PS	LK-6	LK-61	[7.480298, 79.947132]	52231
LG-61019	LG-61019	Pannala PS	LK-6	LK-61	[7.36268, 80.031353]	124225
LG-61020	LG-61020	Narammala PS	LK-6	LK-61	[7.398001, 80.193654]	56279
LG-61021	LG-61021	Alawwa PS	LK-6	LK-61	[7.328946, 80.217342]	63667
LG-62001	LG-62001	Kalpitiya PS	LK-6	LK-62	[8.022241, 79.75942]	117498
LG-62002	LG-62002	Wanathavilluwa PS	LK-6	LK-62	[8.342887, 79.910412]	17460
LG-62003	LG-62003	Karuwalagaswewa PS	LK-6	LK-62	[8.119794, 80.000451]	23440
LG-62004	LG-62004	Nawagattegama PS	LK-6	LK-62	[8.011946, 80.088244]	14483
LG-62005	LG-62005	Puttalam PS	LK-6	LK-62	[7.956661, 79.853871]	52775
LG-62006	LG-62006	Puttalam UC	LK-6	LK-62	[8.033556, 79.847099]	45511
LG-62007	LG-62007	Arachchikattuwa PS	LK-6	LK-62	[7.697936, 79.851339]	61900
LG-62008	LG-62008	Anamaduwa PS	LK-6	LK-62	[7.852192, 79.956937]	75161
LG-62009	LG-62009	Chilaw UC	LK-6	LK-62	[7.578889, 79.793913]	23078
LG-62010	LG-62010	Chilaw PS	LK-6	LK-62	[7.547583, 79.853887]	87357
LG-62011	LG-62011	Nattandiya PS	LK-6	LK-62	[7.425416, 79.862468]	113223
LG-62012	LG-62012	Wennappuwa PS	LK-6	LK-62	[7.322127, 79.887986]	130510
LG-71001	LG-71001	Padaviya PS	LK-7	LK-71	[8.851961, 80.784529]	22998
LG-71002	LG-71002	Kebithigollewa PS	LK-7	LK-71	[8.717653, 80.70923]	22325
LG-71003	LG-71003	Medawachchiya PS	LK-7	LK-71	[8.588659, 80.496943]	46906
LG-71004	LG-71004	Nuwaragam Palatha Central PS	LK-7	LK-71	[8.495534, 80.242808]	66596
LG-71005	LG-71005	Anuradhapura MC	LK-7	LK-71	[8.338613, 80.406112]	66116
LG-71006	LG-71006	Rambewa PS	LK-7	LK-71	[8.475728, 80.550657]	36782
LG-71007	LG-71007	Kahatagasdigiliya PS	LK-7	LK-71	[8.422803, 80.7116]	40339
LG-71008	LG-71008	Horowpothana PS	LK-7	LK-71	[8.51213, 80.850711]	36990
LG-71009	LG-71009	Galenbindunuwewa PS	LK-7	LK-71	[8.266313, 80.706992]	46992
LG-71010	LG-71010	Mihinthale PS	LK-7	LK-71	[8.34996, 80.545444]	31699
LG-71011	LG-71011	Nuwaragam Palatha East PS	LK-7	LK-71	[8.276244, 80.427182]	45533
LG-71012	LG-71012	Thirappane PS	LK-7	LK-71	[8.20797, 80.549112]	31197
LG-71013	LG-71013	Nochchiyagama PS	LK-7	LK-71	[8.332071, 80.124772]	49886
LG-71014	LG-71014	Rajanganaya PS	LK-7	LK-71	[8.182839, 80.184194]	33543
LG-71015	LG-71015	Thalawa PS	LK-7	LK-71	[8.180074, 80.357646]	92260
LG-71016	LG-71016	Galnewa PS	LK-7	LK-71	[8.030264, 80.435458]	42726
LG-71017	LG-71017	Kekirawa PS	LK-7	LK-71	[8.067228, 80.659319]	74823
LG-71018	LG-71018	Ipalogama PS	LK-7	LK-71	[8.085965, 80.507877]	38862
LG-71019	LG-71019	Palagala PS	LK-7	LK-71	[7.906171, 80.537801]	34002
LG-72001	LG-72001	Hingurakgoda PS	LK-7	LK-72	[8.105402, 80.871855]	64289
LG-72002	LG-72002	Medirigiriya PS	LK-7	LK-72	[8.184528, 81.040361]	65575
