id	moh_id	name	province_id	district_id	ed_id	centroid	population
MOH-31001	MOH-31001	IMADUWA	LK-3	LK-31	EC-07	[6.032651570655569, 80.35843599382038]	44880
MOH-31002	MOH-31002	KARANDENIYA	LK-3	LK-31	EC-07	[6.301087413192971, 80.10061874851114]	62498
MOH-31003	MOH-31003	BALAPITIYA	LK-3	LK-31	EC-07	[6.314060551636422, 80.05115357189187]	67432
MOH-31004	MOH-31004	NAGODA	LK-3	LK-31	EC-07	[6.19973971273322, 80.31290137681611]	53829
MOH-31005	MOH-31005	ELPITIYA	LK-3	LK-31	EC-07	[6.29053593943093, 80.18453148658469]	60536
MOH-31006	MOH-31006	HIKKADUWA	LK-3	LK-31	EC-07	[6.168811402595373, 80.0971112739959]	59861
MOH-31007	MOH-31007	RATHGAMA	LK-3	LK-31	EC-07	[6.101209629344156, 80.15742096085785]	40899
MOH-31008	MOH-31008	AKMEEMANA	LK-3	LK-31	EC-07	[6.059039487146674, 80.28363707182899]	77776
MOH-31009	MOH-31009	GONAPINUWALA	LK-3	LK-31	EC-07	[6.166248498058234, 80.13156464139583]	21755
MOH-31010	MOH-31010	AMBALANGODA	LK-3	LK-31	EC-07	[6.222222000512803, 80.10267808241323]	56961
MOH-31011	MOH-31011	BADDEGAMA	LK-3	LK-31	EC-07	[6.137028523736836, 80.22022551921191]	73863
MOH-31012	MOH-31012	BENTOTA	LK-3	LK-31	EC-07	[6.386771975717165, 80.05545355870781]	49975
MOH-31013	MOH-31013	BOPE-PODDALA	LK-3	LK-31	EC-07	[6.0843652734774585, 80.21689623684021]	50331
MOH-31014	MOH-31014	HABARADUWA	LK-3	LK-31	EC-07	[6.001751986824181, 80.31962357169256]	62389
MOH-31015	MOH-31015	NELUWA	LK-3	LK-31	EC-07	[6.360283867102839, 80.41071259627019]	28640
MOH-31016	MOH-31016	NIYAGAMA	LK-3	LK-31	EC-07	[6.300177626863773, 80.25359227151958]	35834
MOH-31017	MOH-31017	THAWALAMA	LK-3	LK-31	EC-07	[6.292959323325119, 80.35558372569933]	32609
MOH-31018	MOH-31018	WELIVITIYA-DIVITHURA	LK-3	LK-31	EC-07	[6.207736608581211, 80.18194976099502]	30100
MOH-31019	MOH-31019	YAKKALAMULLA	LK-3	LK-31	EC-07	[6.106994849547429, 80.3595308513973]	45946
MOH-31020	MOH-31020	GALLE FOUR GRAVETS	LK-3	LK-31	EC-07	[6.053681024321904, 80.20836801009342]	101749
MOH-52001	MOH-52001	ALAYADIVEMBU	LK-5	LK-52	EC-13	[7.180334441077944, 81.80308707492101]	25376
MOH-52002	MOH-52002	AKKARAIPATTU	LK-5	LK-52	EC-13	[7.215884357466745, 81.78590617348826]	35509
MOH-52003	MOH-52003	KALNUMAI NORTH ( TAMIL DIV )	LK-5	LK-52	EC-13	[7.423979739130923, 81.81549725768444]	29800
MOH-52004	MOH-52004	IRAKKAMAM	LK-5	LK-52	EC-13		0
MOH-52005	MOH-52005	ADDACHCHENAI	LK-5	LK-52	EC-13	[7.2735366293512005, 81.82095751095376]	40626
MOH-52006	MOH-52006	KALMUNAI SOUTH ( MUSLIM DIV )	LK-5	LK-52	EC-13	[7.41711769170938, 81.8229722486707]	44632
MOH-52007	MOH-52007	SAMMANTHURAI	LK-5	LK-52	EC-13	[7.331793867989288, 81.76425473735023]	60944
MOH-52008	MOH-52008	THIRUKKOVIL	LK-5	LK-52	EC-13	[7.0767003807940165, 81.77309812413607]	25277
MOH-52009	MOH-52009	SAINTHAMARUTHU	LK-5	LK-52	EC-13	[7.386380162540526, 81.83108534682735]	25461
MOH-52010	MOH-52010	POTTUVIL	LK-5	LK-52	EC-13	[6.955424167800247, 81.79989085590005]	22534
MOH-52011	MOH-52011	NINTHAVUR	LK-5	LK-52	EC-13	[7.331614536218272, 81.8409108257347]	26361
MOH-52012	MOH-52012	NAVITHANVELI	LK-5	LK-52	EC-13	[7.417425417202755, 81.76460210472364]	17293
MOH-52013	MOH-52013	KARAITHIVU	LK-5	LK-52	EC-13	[7.370720399182026, 81.83699701423866]	15744
MOH-51001	MOH-51001	ARAYAMPATHY	LK-5	LK-51	EC-12	[7.639266607423102, 81.75381274293271]	30694
MOH-51002	MOH-51002	VALAICHENAI	LK-5	LK-51	EC-12	[7.861650662210003, 81.37602509781469]	26143
MOH-51003	MOH-51003	VELLAVELI	LK-5	LK-51	EC-12	[7.4995885821858055, 81.70680545058421]	36222
MOH-51004	MOH-51004	VAVUNATHIVU	LK-5	LK-51	EC-12	[7.63173218980525, 81.5958146018849]	28489
MOH-51005	MOH-51005	VAKARAI	LK-5	LK-51	EC-12	[8.065944201745681, 81.40885956357701]	21537
MOH-51006	MOH-51006	CHENKALADY	LK-5	LK-51	EC-12	[7.714833100856562, 81.46653968712263]	65987
MOH-51007	MOH-51007	PADDIPALAI	LK-5	LK-51	EC-12	[7.560907293563907, 81.64314924532091]	25246
MOH-51008	MOH-51008	OTTAMAVADI	LK-5	LK-51	EC-12	[7.906565676602976, 81.54587508074526]	23376
MOH-51009	MOH-51009	KIRAN	LK-5	LK-51	EC-12	[7.921997956927611, 81.49420596616878]	22182
MOH-51010	MOH-51010	KORALAIPATTU ( ODDMAVADI CENTRAL )	LK-5	LK-51	EC-12	[7.930662003610648, 81.51714745805265]	23940
MOH-51011	MOH-51011	ERAVUR	LK-5	LK-51	EC-12	[7.7827231279825675, 81.61388779087493]	32717
MOH-51012	MOH-51012	KATTANKUDY	LK-5	LK-51	EC-12	[7.682747940225716, 81.7321197309202]	40356
MOH-51013	MOH-51013	KALUWANCHIKUDY	LK-5	LK-51	EC-12	[7.522464555895918, 81.79090815808505]	60807
MOH-51014	MOH-51014	BATTICALOA	LK-5	LK-51	EC-12	[7.7292789931373855, 81.68565527905771]	81766
MOH-53001	MOH-53001	KINNIYA	LK-5	LK-53	EC-14	[8.432267955164335, 81.16326645795952]	64613
MOH-53002	MOH-53002	KANTHALE	LK-5	LK-53	EC-14	[8.345953718495347, 81.05671494179138]	46802
MOH-53003	MOH-53003	KUCHCHAVELI	LK-5	LK-53	EC-14	[8.800632361167574, 81.05374334410536]	23984
MOH-53004	MOH-53004	MUTHUR	LK-5	LK-53	EC-14	[8.426250863199325, 81.28901423821284]	56621
MOH-53005	MOH-53005	PADAVI SRI PURA	LK-5	LK-53	EC-14	[8.915611887141234, 80.85212008135507]	11882
MOH-53006	MOH-53006	GOMARANKADAWALA	LK-5	LK-53	EC-14	[8.677164075503937, 80.99376074629146]	15350
MOH-53007	MOH-53007	SERUVILA	LK-5	LK-53	EC-14	[8.293938142992445, 81.24614435318095]	13632
MOH-53008	MOH-53008	THAMPALAGAMAM	LK-5	LK-53	EC-14	[8.492791452208614, 81.0495347474092]	28527
MOH-53009	MOH-53009	UPPUVELI	LK-5	LK-53	EC-14	[8.584645420027936, 81.16931056799311]	47676
MOH-53010	MOH-53010	TRINCOMALEE	LK-5	LK-53	EC-14	[8.569736279802612, 81.2275019222272]	49811
MOH-53011	MOH-53011	EACHCHILAMPATRU	LK-5	LK-53	EC-14	[8.297136879431655, 81.34739630567825]	11409
MOH-52014	MOH-52014	AMPARA	LK-5	LK-52	EC-13	[7.272775241562752, 81.59153154406171]	43829
MOH-52015	MOH-52015	DAMANA	LK-5	LK-52	EC-13	[7.141501982709653, 81.62854198199923]	39647
