id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-09B	Beliatta	LK	LK-3	LK-33	EC-09	EC-09B	[6.074198889252102, 80.72911694671218]	97910
EC-09C	Tangalle	LK	LK-3	LK-33	EC-09	EC-09C	[6.145603934084633, 80.88311079757459]	156392
EC-09D	Thissamaharama	LK	LK-3	LK-33	EC-09	EC-09D	[6.319592042384812, 81.26795050214939]	218399
EC-10A	Kayts	LK	LK-4	LK-41	EC-10	EC-10A	[9.646638885445784, 80.10536810032197]	72726
EC-10B	Vaddukoddai	LK	LK-4	LK-41	EC-10	EC-10B	[9.742501411490087, 79.92833122294468]	65023
EC-10C	Kankesanthurai	LK	LK-4	LK-41	EC-10	EC-10C	[9.78949497735539, 79.97787081581492]	10003
EC-10D	Manipay	LK	LK-4	LK-41	EC-10	EC-10D	[9.73157345882694, 80.00729603638199]	82501
EC-10E	Kopay	LK	LK-4	LK-41	EC-10	EC-10E	[9.741606555992243, 80.09136097059294]	76997
EC-10F	Udupiddy	LK	LK-4	LK-41	EC-10	EC-10F	[9.796160836159167, 80.17889258505504]	51768
EC-10G	Point Pedro	LK	LK-4	LK-41	EC-10	EC-10G	[9.806472756218833, 80.2324645882844]	41527
EC-10H	Chavakachcheri	LK	LK-4	LK-41	EC-10	EC-10H	[9.674061341435436, 80.19181377523456]	62865
EC-10I	Nallur	LK	LK-4	LK-41	EC-10	EC-10I	[9.681873312708934, 80.0331379672142]	68142
EC-10J	Jaffna	LK	LK-4	LK-41	EC-10	EC-10J	[9.66316021393396, 80.02158400688322]	50491
EC-10K	Kilinochchi	LK	LK-4	LK-45	EC-10	EC-10K	[9.416281200923775, 80.3381016894764]	113510
EC-11A	Mannar	LK	LK-4	LK-42	EC-11	EC-11A	[8.855985112289643, 80.08474746278259]	99570
EC-11B	Vavuniya	LK	LK-4	LK-43	EC-11	EC-11B	[8.854284616272968, 80.46814010104123]	172060
EC-11C	Mullaitivu	LK	LK-4	LK-44	EC-11	EC-11C	[9.170311160450995, 80.54309952118615]	92193
EC-12A	Kalkudah	LK	LK-5	LK-51	EC-12	EC-12A	[7.892367575980306, 81.40433157087548]	156571
EC-12B	Batticaloa	LK	LK-5	LK-51	EC-12	EC-12B	[7.654834146661962, 81.560797168475]	242663
EC-12C	Paddiruppu	LK	LK-5	LK-51	EC-12	EC-12C	[7.528332802827727, 81.69539738660252]	121755
EC-13A	Ampara	LK	LK-5	LK-52	EC-13	EC-13A	[7.478470599676245, 81.37257149116648]	221771
EC-13B	Samanthurai	LK	LK-5	LK-52	EC-13	EC-13B	[7.321207432237952, 81.75868458766706]	112524
EC-13C	Kalmunai	LK	LK-5	LK-52	EC-13	EC-13C	[7.413192203025691, 81.82122679334775]	98963
EC-13D	Pothuvil	LK	LK-5	LK-52	EC-13	EC-13D	[6.94656003615225, 81.72228087391402]	210955
EC-14A	Seruvila	LK	LK-5	LK-53	EC-14	EC-14A	[8.511283702111708, 81.06426603622879]	103849
EC-14B	Trincomalee	LK	LK-5	LK-53	EC-14	EC-14B	[8.74385752537552, 81.07865904907023]	134252
EC-14C	Muttur	LK	LK-5	LK-53	EC-14	EC-14C	[8.432157865766493, 81.21645789452836]	134621
EC-15A	Galgamuwa	LK	LK-6	LK-61	EC-15	EC-15A	[8.00851475769784, 80.28762097885378]	127763
EC-15B	Nikaweratiya	LK	LK-6	LK-61	EC-15	EC-15B	[7.777288924003934, 80.10340656026573]	119583
EC-15C	Yapahuwa	LK	LK-6	LK-61	EC-15	EC-15C	[7.808849974284413, 80.33627771538913]	138872
EC-15D	Hiriyala	LK	LK-6	LK-61	EC-15	EC-15D	[7.634334120859501, 80.43137130858437]	125098
EC-15E	Wariyapola	LK	LK-6	LK-61	EC-15	EC-15E	[7.621687725045329, 80.2446272036053]	97642
EC-15F	Panduwasnuwara	LK	LK-6	LK-61	EC-15	EC-15F	[7.583988607296615, 80.10139198138269]	93748
EC-15G	Bingiriya	LK	LK-6	LK-61	EC-15	EC-15G	[7.55943463936649, 79.96090506209758]	114580
EC-15H	Katugampola	LK	LK-6	LK-61	EC-15	EC-15H	[7.362623969581088, 80.03109836703823]	124225
EC-15I	Kuliyapitiya	LK	LK-6	LK-61	EC-15	EC-15I	[7.471742350567729, 80.10148213394756]	131378
EC-15J	Dambadeniya	LK	LK-6	LK-61	EC-15	EC-15J	[7.360359482767118, 80.20666947684653]	119946
EC-15K	Polgahawela	LK	LK-6	LK-61	EC-15	EC-15K	[7.419234351990036, 80.2911983332983]	98962
EC-15L	Kurunegala	LK	LK-6	LK-61	EC-15	EC-15L	[7.5317695573442505, 80.34184139899672]	115017
EC-15M	Mawathagama	LK	LK-6	LK-61	EC-15	EC-15M	[7.442291803721213, 80.42275885430979]	116708
EC-15N	Dodangaslanda	LK	LK-6	LK-61	EC-15	EC-15N	[7.517404412372438, 80.51876438739527]	88714
EC-16A	Puttalam	LK	LK-6	LK-62	EC-16	EC-16A	[8.22722103369407, 79.87058836467473]	217036
EC-16B	Anamaduwa	LK	LK-6	LK-62	EC-16	EC-16B	[7.988050831993074, 79.96967638908093]	147182
EC-16C	Chilaw	LK	LK-6	LK-62	EC-16	EC-16C	[7.609878339562398, 79.8504489501423]	150084
EC-16D	Nattandiya	LK	LK-6	LK-62	EC-16	EC-16D	[7.4254156205417505, 79.86246779441497]	113223
EC-16E	Wennappuwa	LK	LK-6	LK-62	EC-16	EC-16E	[7.321783693276703, 79.88832829330676]	129242
EC-17A	Medawachchiya	LK	LK-7	LK-71	EC-17	EC-17A	[8.66912742222622, 80.63781669320491]	117151
EC-17B	Horowpothana	LK	LK-7	LK-71	EC-17	EC-17B	[8.45498073455671, 80.80374138901097]	109131
EC-17C	Anuradhapura East	LK	LK-7	LK-71	EC-17	EC-17C	[8.337869500201169, 80.50384065341683]	117052
EC-17D	Anuradhapura West	LK	LK-7	LK-71	EC-17	EC-17D	[8.420033985057971, 80.19955190582901]	140272
EC-17E	Kalawewa	LK	LK-7	LK-71	EC-17	EC-17E	[8.123128616206804, 80.35586453697736]	160127
EC-17F	Mihinthale	LK	LK-7	LK-71	EC-17	EC-17F	[8.204779801000592, 80.54700552110086]	85760
EC-17G	Kekirawa	LK	LK-7	LK-71	EC-17	EC-17G	[8.0136917160244, 80.62093621999975]	106252
EC-18A	Minneriya	LK	LK-7	LK-72	EC-18	EC-18A	[8.010095000134083, 80.86217746770541]	108204
EC-18B	Medirigiriya	LK	LK-7	LK-72	EC-18	EC-18B	[8.151189185421646, 81.05465653504177]	102027
EC-18C	Polonnaruwa	LK	LK-7	LK-72	EC-18	EC-18C	[7.905399045804571, 81.12683921613407]	195857
EC-19A	Mahiyanganaya	LK	LK-8	LK-81	EC-19	EC-19A	[7.368985315155919, 81.10243596322542]	127394
EC-19B	Viyaluwa	LK	LK-8	LK-81	EC-19	EC-19B	[7.108952799946932, 81.03549943908797]	65365
EC-19C	Passara	LK	LK-8	LK-81	EC-19	EC-19C	[7.002477080945597, 81.16846304426586]	80188
EC-19D	Badulla	LK	LK-8	LK-81	EC-19	EC-19D	[6.987097182197346, 81.08816928547982]	75042
EC-19E	Hali Ela	LK	LK-8	LK-81	EC-19	EC-19E	[6.945361554129353, 81.0183356298967]	88591
EC-19F	Uva Paranagama	LK	LK-8	LK-81	EC-19	EC-19F	[6.96740054623925, 80.91732620282653]	77998
EC-19G	Welimada	LK	LK-8	LK-81	EC-19	EC-19G	[6.8596314325620265, 80.88141534144401]	102802
EC-19H	Bandarawela	LK	LK-8	LK-81	EC-19	EC-19H	[6.85288282859186, 81.04314551198657]	110683
EC-19I	Haputale	LK	LK-8	LK-81	EC-19	EC-19I	[6.713969359841743, 80.96423532195875]	85362
EC-20A	Bibile	LK	LK-8	LK-82	EC-20	EC-20A	[7.151570422983808, 81.36267786080505]	107448
EC-20B	Monaragala	LK	LK-8	LK-82	EC-20	EC-20B	[6.850235517224836, 81.44942502037537]	143663
EC-20C	Wellawaya	LK	LK-8	LK-82	EC-20	EC-20C	[6.555975911474727, 81.18662196326493]	199947
EC-21A	Eheliyagoda	LK	LK-9	LK-91	EC-21	EC-21A	[6.8158586694812895, 80.25982990159093]	111257
EC-21B	Ratnapura	LK	LK-9	LK-91	EC-21	EC-21B	[6.7605406271284485, 80.41295079438476]	156785
EC-21C	Pelmadulla	LK	LK-9	LK-91	EC-21	EC-21C	[6.670271692028658, 80.52413095270646]	111240
EC-21D	Balangoda	LK	LK-9	LK-91	EC-21	EC-21D	[6.670690079014746, 80.75272838302814]	140438
EC-21E	Rakwana	LK	LK-9	LK-91	EC-21	EC-21E	[6.538733718568157, 80.68693862560662]	134039
EC-21F	Nivithigala	LK	LK-9	LK-91	EC-21	EC-21F	[6.576300445981638, 80.4686028272208]	138256
