id	lg_id	name	centroid
LG-31002	LG-31002	Balapitiya PS	[6.314060551636422, 80.05115357189167]
LG-31003	LG-31003	Karandeniya PS	[6.301087413192982, 80.10061874851114]
LG-31004	LG-31004	Elpitiya PS	[6.29027791819571, 80.18658982737009]
LG-31005	LG-31005	Niyagama PS	[6.3024575945583665, 80.25233840769597]
LG-31006	LG-31006	Thawalama PS	[6.292959323325109, 80.35558372569922]
LG-31007	LG-31007	Neluwa PS	[6.360283867102841, 80.41071259627013]
LG-31008	LG-31008	Nagoda PS	[6.199739712733209, 80.3129013768162]
LG-31009	LG-31009	Baddegama PS	[6.136857689706429, 80.22055720683841]
LG-31010	LG-31010	Welivitiya-Divithura PS	[6.20638032640722, 80.18032796921631]
LG-31011	LG-31011	Ambalangoda MC	[6.243161382394545, 80.06627286380805]
LG-31012	LG-31012	Ambalangoda PS	[6.198849529635519, 80.11731005314994]
LG-31013	LG-31013	Rathgama PS	[6.1434121012658, 80.1228119972111]
LG-31014	LG-31014	Hikkaduwa UC	[6.128470590020655, 80.12096247791523]
LG-31015	LG-31015	Bope-Poddala PS	[6.082466908578893, 80.21185891260083]
LG-31016	LG-31016	Galle MC	[6.048471608412585, 80.21549879868714]
LG-31017	LG-31017	Akmeemana PS	[6.059039487146676, 80.28363707182912]
LG-31018	LG-31018	Yakkalamulla PS	[6.106994849547444, 80.35953085139722]
LG-31019	LG-31019	Imaduwa PS	[6.032651570655585, 80.35843599382049]
LG-31020	LG-31020	Habaraduwa PS	[6.001751986824188, 80.31962357169269]
LG-32001	LG-32001	Pitabeddara PS	[6.239243191669312, 80.47272225818675]
LG-32002	LG-32002	Kotapola PS	[6.322860901619096, 80.53939855497603]
LG-32003	LG-32003	Pasgoda PS	[6.275885369079918, 80.60835698742484]
LG-32004	LG-32004	Mulatiyana PS	[6.14691551310665, 80.58650846902185]
LG-32005	LG-32005	Athuraliya PS	[6.117275738008336, 80.50863402416793]
LG-32006	LG-32006	Akuressa PS	[6.135035112544879, 80.43999804924657]
LG-32007	LG-32007	Weligama PS	[5.999292528687028, 80.44185926639679]
LG-32008	LG-32008	Malimbada PS	[6.0193245962144815, 80.4983205250386]
LG-32009	LG-32009	Kamburupitiya PS	[6.066377539312284, 80.56138261446594]
LG-32010	LG-32010	Hakmana PS	[6.09486593872586, 80.65003991104899]
LG-32011	LG-32011	Kirinda Puhulwella PS	[6.046061073699205, 80.63729517636486]
LG-32012	LG-32012	Thihagoda PS	[6.0101298050942455, 80.55999295034775]
LG-32013	LG-32013	Weligama UC	[5.970843433196607, 80.42203171050171]
LG-32014	LG-32014	Matara PS	[5.970467599101436, 80.57966338761622]
LG-32015	LG-32015	Matara MC	[5.953375577496133, 80.53800472805791]
LG-32016	LG-32016	Devinuwara PS	[5.975776996267076, 80.61481710641]
LG-32017	LG-32017	Dickwella PS	[5.985143977640161, 80.67363104593133]
LG-33001	LG-33001	Sooriyawewa PS	[6.2917376371798825, 81.01410563053035]
LG-33002	LG-33002	Lunugamvehera PS	[6.333403740079714, 81.1623129156594]
LG-33003	LG-33003	Tissamaharama PS	[6.380422563956705, 81.45356961945728]
LG-33004	LG-33004	Hambantota PS	[6.217265170414625, 81.12052143233426]
LG-33005	LG-33005	Hambantota MC	[6.166069206661002, 81.12490503209293]
LG-33006	LG-33006	Ambalantota PS	[6.161052089483577, 80.96309175797583]
LG-33007	LG-33007	Angunakolapelessa PS	[6.193917101216355, 80.85173243798036]
LG-33008	LG-33008	Weeraketiya PS	[6.167355585509462, 80.74300325457193]
LG-33009	LG-33009	Katuwana PS	[6.241718998412514, 80.69411268384289]
LG-33010	LG-33010	Beliatta PS	[6.050375429587923, 80.72077310584467]
LG-33011	LG-33011	Tangalla PS	[6.072751338898221, 80.8267618282236]
LG-33012	LG-33012	Tangalla UC	[6.031009491623493, 80.79490204636329]
LG-41001	LG-41001	Kayts PS	[9.676695175779942, 79.8576586029649]
LG-41002	LG-41002	Karainagar PS	[9.735371974942222, 79.87539724151561]
LG-41003	LG-41003	Valikamam West PS	[9.739659515703698, 79.94897733130196]
LG-41004	LG-41004	Valikamam South-West PS	[9.750608151976316, 79.98090345875433]
LG-41005	LG-41005	Valikamam North PS	[9.788953445427248, 80.04074293910443]
LG-41006	LG-41006	Valikamam South PS	[9.74441170217098, 80.03444170211138]
LG-41007	LG-41007	Valikamam East PS	[9.740725311054643, 80.09299779322737]
LG-41008	LG-41008	Vadamaradchy South-West PS	[9.793731875599788, 80.1858916207258]
LG-41009	LG-41009	Valvettithurai UC	[9.818653331981434, 80.15369945999443]
LG-41010	LG-41010	Point Pedro PS	[9.654960252643123, 80.3730279574735]
LG-41011	LG-41011	Point Pedro UC	[9.820361235977217, 80.24160274859625]
LG-41012	LG-41012	Chavakachcheri PS	[9.674807382221648, 80.19507226016712]
LG-41013	LG-41013	Chavakachcheri UC	[9.666419390977932, 80.16033477506652]
LG-41014	LG-41014	Nallur PS	[9.693593047588129, 80.03001211282705]
LG-41015	LG-41015	Jaffna MC	[9.667855636171572, 80.02947383208736]
LG-41016	LG-41016	Velanai PS	[9.62176745271576, 79.90407559329414]
LG-41017	LG-41017	Delft PS	[9.509640162137798, 79.69199060306875]
LG-42001	LG-42001	Mannar PS	[8.990017617766004, 79.89034625606084]
LG-42002	LG-42002	Mannar UC	[8.985505186525844, 79.8981824411711]
LG-42003	LG-42003	Manthai West PS	[8.936912554584987, 80.16971931129974]
LG-42004	LG-42004	Nanattan PS	[8.790771259586322, 80.06526906210674]
LG-42005	LG-42005	Musali PS	[8.676405482419025, 80.02070617995135]
LG-43001	LG-43001	Vavuniya North PS	[9.006370130123244, 80.5826618003571]
LG-43002	LG-43002	Vavuniya South (Sinhala) PS	[8.743897515545576, 80.52220868663213]
LG-43003	LG-43003	Vavuniya South (Tamil) PS	[8.838247896245873, 80.454196840774]
LG-43004	LG-43004	Vavuniya UC	[8.755121334100416, 80.4937565578058]
LG-43005	LG-43005	Vengalacheddikulam PS	[8.69316243141726, 80.29616304599526]
LG-44001	LG-44001	Thunukkai PS	[9.221403075378374, 80.2869382058436]
LG-44002	LG-44002	Manthai East PS	[9.052860914730001, 80.30958392428829]
LG-44003	LG-44003	Puthukudiyiruppu PS	[9.222307675017348, 80.57298288305141]
LG-44004	LG-44004	Maritimepattu PS	[9.155828229993089, 80.78828793493766]
LG-45001	LG-45001	Pachchilaipalli PS	[9.587893157352243, 80.35662971540775]
LG-45002	LG-45002	Karachchi PS	[9.397178015463728, 80.42593261376993]
LG-45003	LG-45003	Poonakary PS	[9.361247297541794, 80.18596117608838]
LG-51001	LG-51001	Koralai Pattu North PS	[8.062935427056644, 81.40667830166234]
LG-51002	LG-51002	Koralai Pattu West PS	[7.907034153370849, 81.34674540147064]
LG-51003	LG-51003	Koralai Pattu PS	[7.850667848724522, 81.40726778112]
LG-51004	LG-51004	Eravur Pattu PS	[7.71004467926586, 81.46816627677975]
LG-51005	LG-51005	Eravur UC	[7.777229191958361, 81.60524275051094]
LG-51006	LG-51006	Batticaloa MC	[7.728189680987458, 81.68679943706002]
LG-51007	LG-51007	Manmunai West PS	[7.631732189805246, 81.59581460188488]
LG-51008	LG-51008	Kattankudy UC	[7.682747940225716, 81.7321197309202]
LG-51009	LG-51009	Manmunai Pattu PS	[7.639266607423096, 81.75381274293268]
LG-51010	LG-51010	Manmunai South-West PS	[7.563008843489257, 81.65338435551895]
LG-51011	LG-51011	Poratheevu Pattu PS	[7.49958858218581, 81.70680545058427]
LG-51012	LG-51012	Manmunai South & Eruvil pattu PS	[7.522464555895935, 81.79090815808509]
LG-52001	LG-52001	Dehiattakandiya PS	[7.623935992232635, 81.08679358431931]
LG-52002	LG-52002	Padiyathalawa PS	[7.4269477760808025, 81.26225424883076]
LG-52003	LG-52003	Mahaoya PS	[7.562786425127682, 81.34875332900327]
LG-52004	LG-52004	Uhana PS	[7.397682685829348, 81.59414582947336]
LG-52005	LG-52005	Namaloya PS	[7.26546210943752, 81.57861138892193]
LG-52006	LG-52006	Ampara UC	[7.290723920269993, 81.66522182514288]
LG-52007	LG-52007	Navithanveli PS	[7.413209882906611, 81.7655634732283]
LG-52008	LG-52008	Sammanthurai PS	[7.327002000044045, 81.76383182931052]
LG-52009	LG-52009	Kalmunai MC	[7.413319501003728, 81.8212234396091]
LG-52010	LG-52010	Karaitheevu PS	[7.371218406010775, 81.83697508301888]
LG-52011	LG-52011	Ninthavur PS	[7.331614536218272, 81.8409108257347]
LG-52012	LG-52012	Addalachchenai PS	[7.273511872998119, 81.82137856840984]
LG-52013	LG-52013	Irakkamam PS	[7.242420355339827, 81.72981461370031]
LG-52014	LG-52014	Akkaraipattu PS	[7.213936729274743, 81.77560411668085]
LG-52015	LG-52015	Akkaraipattu MC	[7.229947559995632, 81.8468792088003]
LG-52016	LG-52016	Alayadiwembu PS	[7.177988859658809, 81.80189700112756]
LG-52017	LG-52017	Damana PS	[7.136161048816175, 81.62637709470643]
LG-52018	LG-52018	Thirukkovil PS	[7.0767003807940165, 81.77309812413607]
LG-52019	LG-52019	Pottuvil PS	[6.941703931036174, 81.80015692907688]
LG-52020	LG-52020	Lahugala PS	[6.751389425819927, 81.69862266920192]
LG-53001	LG-53001	Padavi Sri Pura PS	[8.915611887141218, 80.85212008135484]
LG-53002	LG-53002	Kuchchaveli PS	[8.811479236657378, 81.0443701802192]
LG-53003	LG-53003	Gomarankadawala PS	[8.745844506622834, 80.95944303182702]
LG-53004	LG-53004	Morawewa PS	[8.620076916350264, 81.02228562296295]
LG-53005	LG-53005	Trincomalee Town and Gravets PS	[8.58458139528656, 81.16909570678541]
LG-53006	LG-53006	Trincomalee UC	[8.571116581047958, 81.22654379694727]
LG-53007	LG-53007	Thambalagamuwa PS	[8.492791452208605, 81.04953474740917]
LG-53008	LG-53008	Kanthalai PS	[8.345953718495354, 81.05671494179138]
LG-53009	LG-53009	Kinniya PS	[8.429303345987417, 81.16196998169944]
LG-53010	LG-53010	Kinniya UC	[8.487344824888217, 81.18735255154448]
LG-53011	LG-53011	Muttur PS	[8.42625086319934, 81.28901423821303]
LG-53012	LG-53012	Seruvila PS	[8.293938142992445, 81.24614435318095]
LG-53013	LG-53013	Verugal PS	[8.29713687943167, 81.34739630567842]
LG-61001	LG-61001	Giribawa PS	[8.104212722553518, 80.18369244669687]
LG-61002	LG-61002	Galgamuwa PS	[7.997383006407259, 80.2964107166836]
LG-61003	LG-61003	Maho PS	[7.841671470627675, 80.26702505338031]
LG-61004	LG-61004	Nikaweratiya PS	[7.8037197765394355, 80.10412390885337]
LG-61005	LG-61005	Polpithigama PS	[7.803197444927133, 80.42756242470129]
LG-61006	LG-61006	Ibbagamuwa PS	[7.634334120859501, 80.43137130858437]
LG-61007	LG-61007	Wariyapola PS	[7.621687725045329, 80.2446272036053]
LG-61008	LG-61008	Kobeigane PS	[7.684313883165644, 80.10088316401344]
LG-61009	LG-61009	Bingiriya PS	[7.60698722268951, 79.96911161475298]
LG-61010	LG-61010	Paduwasnuwara PS	[7.584006959239449, 80.1015415265507]
LG-61011	LG-61011	Kurunegala PS	[7.511219047741655, 80.35754808792228]
LG-61012	LG-61012	Kurunegala MC	[7.487215666235184, 80.36476481422423]
LG-61013	LG-61013	Mawathagama PS	[7.425195775120663, 80.44621334229502]
LG-61014	LG-61014	Rideegama PS	[7.517404412372438, 80.51876438739527]
LG-61015	LG-61015	Polgahawela PS	[7.419264169386664, 80.29129603239241]
LG-61016	LG-61016	Kuliyapitiya PS	[7.471791082810213, 80.1026149148565]
LG-61017	LG-61017	Kuliyapitiya UC	[7.468897750861788, 80.03535941772189]
LG-61018	LG-61018	Udubaddawa PS	[7.480167906862755, 79.94722532971191]
LG-61019	LG-61019	Pannala PS	[7.362623969581088, 80.03109836703823]
LG-61020	LG-61020	Narammala PS	[7.397766538969641, 80.19361533673853]
LG-61021	LG-61021	Alawwa PS	[7.328805628037316, 80.21768099398818]
LG-62001	LG-62001	Kalpitiya PS	[7.989116737224805, 79.76130717950419]
LG-62002	LG-62002	Wanathavilluwa PS	[8.346995816115605, 79.91260289336309]
LG-62003	LG-62003	Karuwalagaswewa PS	[8.119794137210041, 80.00045056184824]
LG-62004	LG-62004	Nawagattegama PS	[8.01194638032792, 80.08824364010516]
LG-62005	LG-62005	Puttalam PS	[7.956660835794105, 79.85387087474852]
LG-62006	LG-62006	Puttalam UC	[8.033003865335006, 79.84787879103898]
LG-62007	LG-62007	Arachchikattuwa PS	[7.697376468438704, 79.85210961343145]
LG-62008	LG-62008	Anamaduwa PS	[7.852192330575637, 79.95693665413104]
LG-62009	LG-62009	Chilaw UC	[7.57882795572369, 79.79393190926915]
LG-62010	LG-62010	Chilaw PS	[7.547621516594607, 79.85381698389202]
LG-62011	LG-62011	Nattandiya PS	[7.4254156205417505, 79.86246779441497]
LG-62012	LG-62012	Wennappuwa PS	[7.32212748144852, 79.88798636888393]
LG-71001	LG-71001	Padaviya PS	[8.851960823511003, 80.78452913248881]
LG-71002	LG-71002	Kebithigollewa PS	[8.717652911578394, 80.70922956552342]
LG-71003	LG-71003	Medawachchiya PS	[8.588659210711048, 80.49694323374055]
LG-71004	LG-71004	Nuwaragam Palatha Central PS	[8.495533654452238, 80.24280816288565]
LG-71005	LG-71005	Anuradhapura MC	[8.33861345061946, 80.40611242093367]
LG-71006	LG-71006	Rambewa PS	[8.475896017405564, 80.55081880702883]
LG-71007	LG-71007	Kahatagasdigiliya PS	[8.42280321104469, 80.71159995363121]
LG-71008	LG-71008	Horowpothana PS	[8.512129885656295, 80.85071077894838]
LG-71009	LG-71009	Galenbindunuwewa PS	[8.266313424024995, 80.70699230647543]
LG-71010	LG-71010	Mihinthale PS	[8.349959979318578, 80.5454435401749]
LG-71011	LG-71011	Nuwaragam Palatha East PS	[8.27566873558228, 80.42902970721539]
LG-71012	LG-71012	Thirappane PS	[8.205104785988143, 80.54839130677958]
LG-71013	LG-71013	Nochchiyagama PS	[8.332151789611864, 80.12478486978745]
LG-71014	LG-71014	Rajanganaya PS	[8.182828451464978, 80.18542059930468]
LG-71015	LG-71015	Thalawa PS	[8.180074200373662, 80.35764588779938]
LG-71016	LG-71016	Galnewa PS	[8.030264002609961, 80.4354582879281]
LG-71017	LG-71017	Kekirawa PS	[8.067227781429626, 80.65931943136175]
LG-71018	LG-71018	Ipalogama PS	[8.086465949440479, 80.50773705127163]
LG-71019	LG-71019	Palagala PS	[7.906170965336578, 80.53780135710598]
LG-72001	LG-72001	Hingurakgoda PS	[8.105430268446746, 80.87183256478193]
LG-72002	LG-72002	Medirigiriya PS	[8.184528198880926, 81.04036146268619]
LG-72003	LG-72003	Lankapura PS	[8.056454858918174, 81.09527663478175]
LG-72004	LG-72004	Welikanda PS	[8.041277131051926, 81.23452711113251]
LG-72005	LG-72005	Dimbulagala PS	[7.788259300802777, 81.12394457801959]
LG-72006	LG-72006	Thamankaduwa PS	[7.873103966349049, 80.98784058307918]
LG-72007	LG-72007	Elahera PS	[7.8090393540538825, 80.84181551965574]
LG-81001	LG-81001	Mahiyanganaya PS	[7.438557953568868, 81.08319626870241]
LG-81002	LG-81002	Rideemaliyadda PS	[7.273957517053053, 81.12871505581685]
LG-81003	LG-81003	Meegahakivula PS	[7.125470637713855, 81.08322735070706]
LG-81004	LG-81004	Kandaketiya PS	[7.1307393665877585, 80.9940744614972]
LG-81005	LG-81005	Soranathota PS	[7.045630369551516, 81.04952072576538]
LG-81006	LG-81006	Passara PS	[6.9650225447113705, 81.14793721285818]
LG-81007	LG-81007	Lunugala PS	[7.038373414756792, 81.18813494972888]
LG-81008	LG-81008	Badulla MC	[6.989464011773558, 81.05762568386704]
LG-81009	LG-81009	Badulla PS	[6.986410078008173, 81.09703626805882]
LG-81010	LG-81010	Hali-Ela PS	[6.945389020399696, 81.02048238665884]
LG-81011	LG-81011	Uva Paranagama PS	[6.96740054623925, 80.91732620282653]
LG-81012	LG-81012	Welimada PS	[6.859959727768898, 80.8809494389153]
LG-81013	LG-81013	Bandarawela PS	[6.825352652932334, 81.01791894769573]
LG-81014	LG-81014	Bandarawela MC	[6.839607287321888, 80.98509380154795]
LG-81015	LG-81015	Ella PS	[6.868210306786954, 81.06758102497727]
LG-81016	LG-81016	Haputale PS	[6.794406586613132, 80.96357768324341]
LG-81017	LG-81017	Haputale UC	[6.7814271073840695, 80.95921098043578]
LG-81018	LG-81018	Haldummulla PS	[6.700946975995545, 80.9644686010587]
LG-82001	LG-82001	Bibile PS	[7.1893109623266716, 81.29703725642293]
LG-82002	LG-82002	Madulla PS	[7.159371926217665, 81.42989564813799]
LG-82003	LG-82003	Medagama PS	[7.052619741880002, 81.29258969047372]
LG-82004	LG-82004	Siyambalanduwa PS	[6.850996823017496, 81.5266737053867]
LG-82005	LG-82005	Moneragala PS	[6.831522457666721, 81.35555544947776]
LG-82006	LG-82006	Badalkumbura PS	[6.8699965508460235, 81.21691805319321]
LG-82007	LG-82007	Wellawaya PS	[6.612795340546757, 81.12341073918101]
LG-82008	LG-82008	Buttala PS	[6.6551751608906375, 81.2947323776331]
LG-82009	LG-82009	Katharagama PS	[6.497923538819629, 81.41112538437488]
LG-82010	LG-82010	Thanamalvila PS	[6.467935803843525, 80.99571020738782]
LG-91001	LG-91001	Eheliyagoda PS	[6.839063197162528, 80.24399426489177]
LG-91002	LG-91002	Kuruvita PS	[6.780281717990567, 80.32770428364957]
LG-91003	LG-91003	Ratnapura PS	[6.736245558539479, 80.49174085356519]
LG-91004	LG-91004	Ratnapura MC	[6.6883640065786425, 80.41222784519955]
LG-91005	LG-91005	Imbulpe PS	[6.715205043321946, 80.73802402567453]
LG-91006	LG-91006	Balangoda UC	[6.647492514785118, 80.70464675733696]
LG-91007	LG-91007	Balangoda PS	[6.628156486073455, 80.77299621554717]
LG-91008	LG-91008	Weligepola PS	[6.5609070131973874, 80.71230732834817]
LG-91009	LG-91009	Pelmadulla PS	[6.634971661591356, 80.51194220295325]
LG-91010	LG-91010	Pelmadulla MC	[6.657507486026348, 80.45077284381927]
LG-91011	LG-91011	Nivithigala PS	[6.603070187378119, 80.42060629819133]
LG-91012	LG-91012	Ayagama PS	[6.654668986981827, 80.28838644661703]
LG-91013	LG-91013	Kalawana PS	[6.464410974242051, 80.45226581835136]
LG-91014	LG-91014	Kahawatta PS	[6.528196192575508, 80.54565127223931]
LG-91015	LG-91015	Godakawela PS	[6.499133274708944, 80.64163133566609]
LG-91016	LG-91016	Embilipitiya PS	[6.358671108203824, 80.80726990530187]
LG-91017	LG-91017	Embilipitiya UC	[6.327832819232686, 80.86300490254578]
LG-91018	LG-91018	Kolonna PS	[6.3908231361068895, 80.68162607582293]
LG-92001	LG-92001	Rambukkana PS	[7.323137513662999, 80.3863151048717]
LG-92002	LG-92002	Mawanella PS	[7.230010583357891, 80.47371213457349]
LG-92003	LG-92003	Aranayaka PS	[7.16524187168155, 80.44404686161481]
LG-92004	LG-92004	Kegalle PS	[7.204077051435467, 80.37111268237146]
LG-92005	LG-92005	Kegalle UC	[7.252415130080104, 80.34958751645422]
LG-92006	LG-92006	Galigamuwa PS	[7.216216271413462, 80.3057768561848]
LG-92007	LG-92007	Warakapola PS	[7.203836260825044, 80.23218478513553]
LG-92008	LG-92008	Ruwanwella PS	[7.063651710605714, 80.21876706170578]
LG-92009	LG-92009	Bulathkohupitiya PS	[7.0973481340203755, 80.35828595257875]
LG-92010	LG-92010	Yatiyanthota PS	[7.028375953814024, 80.36952407246498]
LG-92011	LG-92011	Dehiovita PS	[6.939019774622642, 80.28090307426753]
LG-92012	LG-92012	Deraniyagala PS	[6.90689725171894, 80.40284603505265]
