id	moh_id	name	centroid
MOH-42001	MOH-42001	NANATTAN	[8.828939990056533, 79.99821084490748]
MOH-42002	MOH-42002	MANNAR TOWN	[9.13098014770876, 80.1357651354723]
MOH-42003	MOH-42003	MANTHAI WEST	[9.034438572452176, 80.09789863203959]
MOH-42004	MOH-42004	MUSALAI	[8.676405482419025, 80.02070617995135]
MOH-42005	MOH-42005	MADHU	
MOH-43001	MOH-43001	VAVUNIYA	[8.83460297321948, 80.45632807967777]
MOH-43002	MOH-43002	VAVUNIYA SOUTH	[8.747432177728754, 80.52819719616366]
MOH-43003	MOH-43003	WELIOYA	[8.886504234367848, 80.48950328151699]
MOH-43004	MOH-43004	CHEDDIKULAM	[8.69316243141726, 80.29616304599526]
MOH-43005	MOH-43005	VAVUNIYA NORTH	[9.011011935591965, 80.5727179539406]
MOH-44001	MOH-44001	ODDUSUDDAN	[8.98924463631944, 80.84322551341495]
MOH-44002	MOH-44002	MANTHAI EAST	
MOH-44003	MOH-44003	MULLAITIVU	[8.96627829127041, 80.7373424454668]
MOH-44004	MOH-44004	PUTHUKKUDIYIRUPPU	[8.992118758466228, 80.7729980652881]
MOH-44005	MOH-44005	MALLAVI	
MOH-45001	MOH-45001	KILINOCHCHI	[9.36133261066897, 80.37575130787938]
MOH-45002	MOH-45002	POONAKARY	[9.361247297541794, 80.18596117608838]
MOH-45003	MOH-45003	KANDAWALAI	[9.441279645953987, 80.48767211490235]
MOH-45004	MOH-45004	PALAI	[9.587893157352243, 80.35662971540775]
MOH-51001	MOH-51001	ARAYAMPATHY	[7.639266607423096, 81.75381274293268]
MOH-51002	MOH-51002	VALAICHENAI	[7.861650662210015, 81.37602509781473]
MOH-51003	MOH-51003	VELLAVELI	[7.49958858218581, 81.70680545058427]
MOH-51004	MOH-51004	VAVUNATHIVU	[7.631732189805246, 81.59581460188488]
MOH-51005	MOH-51005	VAKARAI	[8.06594420174569, 81.408859563577]
MOH-51006	MOH-51006	CHENKALADY	[7.714833100856618, 81.46653968712293]
MOH-51007	MOH-51007	PADDIPALAI	[7.560907293563907, 81.64314924532094]
MOH-51008	MOH-51008	OTTAMAVADI	[7.90656567660298, 81.54587508074546]
MOH-51009	MOH-51009	KIRAN	[7.921997956927611, 81.49420596616878]
MOH-51010	MOH-51010	KORALAIPATTU ( ODDMAVADI CENTRAL )	[7.930662003610648, 81.51714745805265]
MOH-51011	MOH-51011	ERAVUR	[7.7827231279825675, 81.61388779087503]
MOH-51012	MOH-51012	KATTANKUDY	[7.682747940225716, 81.7321197309202]
MOH-51013	MOH-51013	KALUWANCHIKUDY	[7.522464555895935, 81.79090815808509]
MOH-51014	MOH-51014	BATTICALOA	[7.729278993137366, 81.68565527905746]
MOH-52001	MOH-52001	ALAYADIVEMBU	[7.180334441077944, 81.80308707492101]
MOH-52002	MOH-52002	AKKARAIPATTU	[7.215884357466745, 81.78590617348819]
MOH-52003	MOH-52003	KALNUMAI NORTH ( TAMIL DIV )	[7.423979739130916, 81.81549725768451]
MOH-52004	MOH-52004	IRAKKAMAM	
MOH-52005	MOH-52005	ADDACHCHENAI	[7.2735366293512005, 81.82095751095376]
MOH-52006	MOH-52006	KALMUNAI SOUTH ( MUSLIM DIV )	[7.417117691709397, 81.82297224867087]
MOH-52007	MOH-52007	SAMMANTHURAI	[7.33179386798929, 81.76425473735041]
MOH-52008	MOH-52008	THIRUKKOVIL	[7.0767003807940165, 81.77309812413607]
MOH-52009	MOH-52009	SAINTHAMARUTHU	[7.386380162540526, 81.83108534682735]
MOH-52010	MOH-52010	POTTUVIL	[6.9554241678002, 81.79989085589989]
MOH-52011	MOH-52011	NINTHAVUR	[7.331614536218272, 81.8409108257347]
MOH-52012	MOH-52012	NAVITHANVELI	[7.417425417202755, 81.76460210472364]
MOH-52013	MOH-52013	KARAITHIVU	[7.370720399182026, 81.83699701423866]
MOH-52014	MOH-52014	AMPARA	[7.272775241562752, 81.59153154406171]
MOH-52015	MOH-52015	DAMANA	[7.141501982709652, 81.62854198199905]
MOH-52016	MOH-52016	DEHIYATHAKANDIYA	[7.60545116295047, 81.06831754783893]
MOH-52017	MOH-52017	LAHUGALA	[6.906710748893987, 81.72767753092525]
MOH-52018	MOH-52018	MAHAOYA	[7.562786425127682, 81.34875332900327]
MOH-52019	MOH-52019	PADIYATHALAWA	[7.4269477760808025, 81.26225424883076]
MOH-52020	MOH-52020	UHANA	[7.397534706125359, 81.59316903228292]
MOH-53001	MOH-53001	KINNIYA	[8.432267955164345, 81.16326645795964]
MOH-53002	MOH-53002	KANTHALE	[8.345953718495354, 81.05671494179138]
