region_id	field_num	field_value
LK-3312110	3	72
LK-3312110	4	0
LK-3312110	5	1
LK-3312110	6	46
LK-3312110	7	0
LK-1224130	0	616
LK-1224130	1	359
LK-1224130	2	238
LK-1224130	3	2
LK-1224130	4	0
LK-1224130	5	0
LK-1224130	6	4
LK-1224130	7	13
LK-6145280	0	272
LK-6145280	1	201
LK-6145280	2	23
LK-6145280	3	7
LK-6145280	4	0
LK-6145280	5	0
LK-6145280	6	41
LK-6145280	7	0
LK-3312115	0	508
LK-3312115	1	407
LK-3312115	2	35
LK-3312115	3	25
LK-3312115	4	0
LK-3312115	5	0
LK-3312115	6	41
LK-3312115	7	0
LK-6145285	0	227
LK-6145285	1	176
LK-6145285	2	12
LK-6145285	3	11
LK-6145285	4	0
LK-6145285	5	0
LK-6145285	6	28
LK-6145285	7	0
LK-1224135	0	351
LK-1224135	1	176
LK-1224135	2	165
LK-1224135	3	0
LK-1224135	4	0
LK-1224135	5	0
LK-1224135	6	9
LK-1224135	7	1
LK-9124175	0	650
LK-9124175	1	475
LK-9124175	2	56
LK-9124175	3	87
LK-9124175	4	0
LK-9124175	5	0
LK-9124175	6	32
LK-9124175	7	0
LK-4203135	0	338
LK-4203135	1	312
LK-4203135	2	9
LK-4203135	3	1
LK-4203135	4	0
LK-4203135	5	15
LK-4203135	6	1
LK-4203135	7	0
LK-7121170	0	284
LK-7121170	1	157
LK-7121170	2	2
LK-7121170	3	39
LK-7121170	4	0
LK-7121170	5	2
LK-7121170	6	84
LK-7121170	7	0
LK-2139430	0	245
LK-2139430	1	183
LK-2139430	2	49
LK-2139430	3	7
LK-2139430	4	0
LK-2139430	5	0
LK-2139430	6	5
LK-2139430	7	1
LK-4203130	0	498
LK-4203130	1	454
LK-4203130	2	10
LK-4203130	3	1
LK-4203130	4	0
LK-4203130	5	33
LK-4203130	6	0
LK-4203130	7	0
LK-2139435	0	241
LK-2139435	1	160
LK-2139435	2	45
LK-2139435	3	23
LK-2139435	4	0
LK-2139435	5	0
LK-2139435	6	13
LK-2139435	7	0
LK-7121175	0	318
LK-7121175	1	260
LK-7121175	2	4
LK-7121175	3	28
LK-7121175	4	0
LK-7121175	5	1
LK-7121175	6	25
LK-7121175	7	0
LK-2306275	0	152
LK-2306275	1	122
LK-2306275	2	4
LK-2306275	3	22
LK-2306275	4	0
LK-2306275	5	0
LK-2306275	6	4
LK-2306275	7	0
LK-3227100	0	222
LK-3227100	1	167
LK-3227100	2	18
LK-3227100	3	13
LK-3227100	4	0
LK-3227100	5	0
LK-3227100	6	24
LK-3227100	7	0
LK-1227725	0	350
LK-1227725	1	271
LK-1227725	2	41
LK-1227725	3	10
LK-1227725	4	0
LK-1227725	5	0
LK-1227725	6	28
LK-1227725	7	0
LK-2306270	0	172
LK-2306270	1	144
LK-2306270	2	10
LK-2306270	3	6
LK-2306270	4	0
LK-2306270	5	0
LK-2306270	6	9
LK-2306270	7	3
LK-1227720	0	113
LK-1227720	1	86
LK-1227720	2	14
LK-1227720	3	7
LK-1227720	4	0
LK-1227720	5	1
LK-1227720	6	5
LK-1227720	7	0
LK-3327065	0	204
LK-3327065	1	131
LK-3327065	2	51
LK-3327065	3	8
LK-3327065	4	0
LK-3327065	5	0
LK-3327065	6	14
LK-3327065	7	0
LK-5324005	0	769
LK-5324005	1	735
LK-5324005	2	1
LK-5324005	3	21
LK-5324005	4	0
LK-5324005	5	9
LK-5324005	6	3
LK-5324005	7	0
LK-6239015	0	757
LK-6239015	1	601
LK-6239015	2	76
LK-6239015	3	1
LK-6239015	4	0
LK-6239015	5	1
LK-6239015	6	78
LK-6239015	7	0
LK-6239010	0	290
LK-6239010	1	248
LK-6239010	2	10
LK-6239010	3	2
LK-6239010	4	0
LK-6239010	5	1
LK-6239010	6	28
LK-6239010	7	1
LK-5206080	0	224
LK-5206080	1	76
LK-5206080	2	0
LK-5206080	3	123
LK-5206080	4	2
LK-5206080	5	0
LK-5206080	6	23
LK-5206080	7	0
LK-3221125	0	310
LK-3221125	1	225
LK-3221125	2	27
LK-3221125	3	24
LK-3221125	4	0
