id	dsd_id	name	province_id	district_id	centroid
LK-4509	LK-4509	Karachchi	LK-4	LK-45	9.369732,80.370251
LK-4512	LK-4512	Poonakary	LK-4	LK-45	9.383997,80.180377
LK-5103	LK-5103	Koralai Pattu North (Vaharai)	LK-5	LK-51	8.084464,81.394992
LK-5104	LK-5104	Koralai Pattu Central	LK-5	LK-51	7.959820,81.418318
LK-5106	LK-5106	Koralai Pattu  West (Oddamavadi)	LK-5	LK-51	7.921998,81.494206
LK-5109	LK-5109	Koralai Pattu (Valachchenai)	LK-5	LK-51	7.906566,81.545875
LK-5110	LK-5110	Koralai Pattu South (Kiran)	LK-5	LK-51	7.861651,81.376025
LK-5112	LK-5112	Eravur Pattu	LK-5	LK-51	7.710045,81.468166
LK-5115	LK-5115	Eravur Town	LK-5	LK-51	7.777229,81.605243
LK-5118	LK-5118	Manmunai North	LK-5	LK-51	7.723674,81.688092
LK-5121	LK-5121	Manmunai West	LK-5	LK-51	7.632148,81.597281
LK-5124	LK-5124	Kattankudy	LK-5	LK-51	7.682747,81.732119
LK-5127	LK-5127	Manmunai Pattu (Araipattai)	LK-5	LK-51	7.639401,81.753366
LK-5130	LK-5130	Manmunai South-West	LK-5	LK-51	7.564352,81.654595
LK-5133	LK-5133	Porativu Pattu	LK-5	LK-51	7.499589,81.706805
LK-5136	LK-5136	Manmunai South & Eruvil pattu	LK-5	LK-51	7.521668,81.791306
LK-5203	LK-5203	Dehiattakandiya	LK-5	LK-52	7.623936,81.086794
LK-5206	LK-5206	Padiyathalawa	LK-5	LK-52	7.426948,81.262254
LK-5209	LK-5209	Mahaoya	LK-5	LK-52	7.562786,81.348753
LK-5212	LK-5212	Uhana	LK-5	LK-52	7.397683,81.594146
LK-5215	LK-5215	Ampara	LK-5	LK-52	7.272772,81.591345
LK-5216	LK-5216	Navithanveli	LK-5	LK-52	7.413210,81.765563
LK-5218	LK-5218	Samanthurai	LK-5	LK-52	7.327002,81.763832
LK-5221	LK-5221	Kalmunai Tamil Division	LK-5	LK-52	7.423980,81.815497
LK-5224	LK-5224	Kalmunai	LK-5	LK-52	7.416848,81.822493
LK-5225	LK-5225	Sainthamaruthu	LK-5	LK-52	7.386614,81.831413
LK-5227	LK-5227	Karaitheevu	LK-5	LK-52	7.371218,81.836975
LK-5230	LK-5230	Ninthavur	LK-5	LK-52	7.331615,81.840911
LK-5233	LK-5233	Addalachchenai	LK-5	LK-52	7.273512,81.821379
LK-5234	LK-5234	Irakkamam	LK-5	LK-52	7.242420,81.729815
LK-5236	LK-5236	Akkaraipattu	LK-5	LK-52	7.216869,81.788659
LK-5239	LK-5239	Alayadiwembu	LK-5	LK-52	7.177989,81.801897
LK-5242	LK-5242	Damana	LK-5	LK-52	7.139893,81.627784
LK-5245	LK-5245	Thirukkovil	LK-5	LK-52	7.076700,81.773098
LK-5248	LK-5248	Pothuvil	LK-5	LK-52	6.941704,81.800157
LK-5251	LK-5251	Lahugala	LK-5	LK-52	6.751389,81.698623
