id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-08D	Kamburupitiya	LK	LK-3	LK-32	EC-08	EC-08D	[6.044202950958045, 80.5873862075399]	101741.0
EC-08E	Devinuwara	LK	LK-3	LK-32	EC-08	EC-08E	[5.981210841126069, 80.64893544295575]	102925.0
EC-08F	Matara	LK	LK-3	LK-32	EC-08	EC-08F	[5.962525642743349, 80.56369366048165]	115805.0
EC-08G	Weligama	LK	LK-3	LK-32	EC-08	EC-08G	[5.998612949753211, 80.44027423753298]	124941.0
EC-09A	Mulkirigala	LK	LK-3	LK-33	EC-09	EC-09A	[6.215853082720905, 80.72106215618203]	126950.0
EC-09B	Beliatta	LK	LK-3	LK-33	EC-09	EC-09B	[6.074789823098798, 80.72902697124418]	97910.0
EC-09C	Tangalle	LK	LK-3	LK-33	EC-09	EC-09C	[6.145659446910509, 80.88295604409709]	156392.0
EC-09D	Thissamaharama	LK	LK-3	LK-33	EC-09	EC-09D	[6.319463134568514, 81.26794629703987]	218651.0
EC-10A	Kayts	LK	LK-4	LK-41	EC-10	EC-10A	[9.605021471843271, 79.83044798052038]	30442.0
EC-10B	Vaddukoddai	LK	LK-4	LK-41	EC-10	EC-10B	[9.743405370695061, 79.92779677438999]	65023.0
EC-10C	Kankesanthurai	LK	LK-4	LK-41	EC-10	EC-10C	[9.789053418988319, 80.02913595947975]	39521.0
EC-10D	Manipay	LK	LK-4	LK-41	EC-10	EC-10D	[9.731573458826924, 80.00729603638199]	82501.0
EC-10E	Kopay	LK	LK-4	LK-41	EC-10	EC-10E	[9.741001231459384, 80.09174275904608]	76997.0
EC-10F	Udupiddy	LK	LK-4	LK-41	EC-10	EC-10F	[9.781486043133334, 80.1818565882234]	51768.0
EC-10G	Point Pedro	LK	LK-4	LK-41	EC-10	EC-10G	[9.663410031704496, 80.36553271900935]	54293.0
EC-10H	Chavakachcheri	LK	LK-4	LK-41	EC-10	EC-10H	[9.673114486373564, 80.19106254116444]	64704.0
EC-10I	Nallur	LK	LK-4	LK-41	EC-10	EC-10I	[9.668059668489192, 80.0488693275762]	68142.0
EC-10J	Jaffna	LK	LK-4	LK-41	EC-10	EC-10J	[9.663053169559994, 80.02150891868435]	50491.0
EC-10K	Kilinochchi	LK	LK-4	LK-45	EC-10	EC-10K	[9.415768170491313, 80.3036201615706]	113510.0
EC-11A	Mannar	LK	LK-4	LK-42	EC-11	EC-11A	[8.877086396705325, 80.08903041379477]	99570.0
EC-11B	Vavuniya	LK	LK-4	LK-43	EC-11	EC-11B	[8.852089460352598, 80.46738501709082]	172060.0
EC-11C	Mullaitivu	LK	LK-4	LK-44	EC-11	EC-11C	[9.16764437651412, 80.5490491231289]	92193.0
EC-12A	Kalkudah	LK	LK-5	LK-51	EC-12	EC-12A	[7.920682131781468, 81.40008116514696]	162149.0
EC-12B	Batticaloa	LK	LK-5	LK-51	EC-12	EC-12B	[7.655066760305453, 81.56282144049973]	242663.0
EC-12C	Paddiruppu	LK	LK-5	LK-51	EC-12	EC-12C	[7.528730349478858, 81.69611471406847]	121755.0
EC-13A	Ampara	LK	LK-5	LK-52	EC-13	EC-13A	[7.47784599775511, 81.37597267612384]	221771.0
EC-13B	Samanthurai	LK	LK-5	LK-52	EC-13	EC-13B	[7.3215857592425175, 81.75907121168213]	114791.0
EC-13C	Kalmunai	LK	LK-5	LK-52	EC-13	EC-13C	[7.4130887957637155, 81.82128475694209]	99893.0
EC-13D	Pothuvil	LK	LK-5	LK-52	EC-13	EC-13D	[6.946544936118249, 81.72230336479798]	212947.0
EC-14A	Seruvila	LK	LK-5	LK-53	EC-14	EC-14A	[8.50999779188477, 81.06679748060789]	103849.0
EC-14B	Trincomalee	LK	LK-5	LK-53	EC-14	EC-14B	[8.747445798928805, 81.07819744535178]	134252.0
EC-14C	Muttur	LK	LK-5	LK-53	EC-14	EC-14C	[8.433609461201137, 81.21720881025226]	141440.0
EC-15A	Galgamuwa	LK	LK-6	LK-61	EC-15	EC-15A	[8.008589971896281, 80.28788087417708]	127763.0
EC-15B	Nikaweratiya	LK	LK-6	LK-61	EC-15	EC-15B	[7.777288924003944, 80.10340656026574]	119583.0
EC-15C	Yapahuwa	LK	LK-6	LK-61	EC-15	EC-15C	[7.808596412826741, 80.33464658826269]	141010.0
EC-15D	Hiriyala	LK	LK-6	LK-61	EC-15	EC-15D	[7.633610629979795, 80.43063051031295]	125098.0
EC-15E	Wariyapola	LK	LK-6	LK-61	EC-15	EC-15E	[7.621637940995224, 80.24419343030675]	97642.0
EC-15F	Panduwasnuwara	LK	LK-6	LK-61	EC-15	EC-15F	[7.584056351988889, 80.10199202206876]	96128.0
EC-15G	Bingiriya	LK	LK-6	LK-61	EC-15	EC-15G	[7.559371934974735, 79.96085072827802]	114580.0
EC-15H	Katugampola	LK	LK-6	LK-61	EC-15	EC-15H	[7.362679745836278, 80.03135277245056]	124225.0
EC-15I	Kuliyapitiya	LK	LK-6	LK-61	EC-15	EC-15I	[7.471839815467768, 80.1019071233714]	131378.0
EC-15J	Dambadeniya	LK	LK-6	LK-61	EC-15	EC-15J	[7.359740116898957, 80.20655040519038]	119946.0
EC-15K	Polgahawela	LK	LK-6	LK-61	EC-15	EC-15K	[7.418582173052946, 80.29143820965938]	99495.0
EC-15L	Kurunegala	LK	LK-6	LK-61	EC-15	EC-15L	[7.531705119880829, 80.34185063853376]	115017.0
EC-15M	Mawathagama	LK	LK-6	LK-61	EC-15	EC-15M	[7.442512079651857, 80.42230949907292]	116708.0
EC-15N	Dodangaslanda	LK	LK-6	LK-61	EC-15	EC-15N	[7.517394452461996, 80.51885091580459]	88714.0
