id	moh_id	name
MOH-61012	MOH-61012	Pannala
MOH-61013	MOH-61013	Mawathagama
MOH-61014	MOH-61014	Rideegama
MOH-61015	MOH-61015	Bamunukotuwa
MOH-61016	MOH-61016	Bingiriya
MOH-61017	MOH-61017	Polpithigama
MOH-61018	MOH-61018	ALAWWA
MOH-61019	MOH-61019	Katupotha
MOH-61020	MOH-61020	Kotawehera
MOH-61021	MOH-61021	Ibbagamuwa
MOH-61022	MOH-61022	Narammala
MOH-61023	MOH-61023	Mallawapitiya
MOH-61024	MOH-61024	Maspotha
MOH-61025	MOH-61025	Kuliyapitiya
MOH-61026	MOH-61026	Nikaweratiya
MOH-61027	MOH-61027	Weerambugedara
MOH-62001	MOH-62001	Mundalama
MOH-62002	MOH-62002	Anamaduwa
MOH-62003	MOH-62003	Chilaw
MOH-62004	MOH-62004	Dankotuwa
MOH-62005	MOH-62005	Karuwalagaswewa
MOH-62006	MOH-62006	Wennappuwa
MOH-62007	MOH-62007	Arachchikattuwa
MOH-62008	MOH-62008	Nattandiya
MOH-62009	MOH-62009	Puttalam
MOH-62010	MOH-62010	Kalpitiya
MOH-62011	MOH-62011	Mahawewa
MOH-62012	MOH-62012	Pallama
MOH-71001	MOH-71001	HOROWPOTHANA
MOH-71002	MOH-71002	NUWARAGAM PALATHA CENTRAL
MOH-71003	MOH-71003	IPALOGAMA
MOH-71004	MOH-71004	KAHATAGASDIGILIYA
MOH-71005	MOH-71005	NUWARAGAM PALATHA EAST
MOH-71006	MOH-71006	KEBITHIGOLLEWA
MOH-71007	MOH-71007	THIRAPPANE
MOH-71008	MOH-71008	PADAVIYA
MOH-71009	MOH-71009	GALENBIDUNUWAWE
MOH-71010	MOH-71010	MEDAWACHCHIYA
MOH-71011	MOH-71011	KEKIRAWA
MOH-71012	MOH-71012	THAMBUTTEGAMA
MOH-71013	MOH-71013	GALNEWA
MOH-71014	MOH-71014	MIHINTALE
MOH-71015	MOH-71015	RAMBEWA
MOH-71016	MOH-71016	THALAWA
MOH-71017	MOH-71017	NOCHCHIYAGAMA
MOH-71018	MOH-71018	PALAGALA
MOH-71019	MOH-71019	RAJANGANAYA
MOH-72001	MOH-72001	DIMBULAGALA
MOH-72002	MOH-72002	ELAHERA
MOH-72003	MOH-72003	HINGURAKGODA
MOH-72004	MOH-72004	LANKAPURA
MOH-72005	MOH-72005	MEDIRIGIRIYA
MOH-72006	MOH-72006	THAMANKADUWA
MOH-72007	MOH-72007	WELIKANDA
MOH-81001	MOH-81001	Welimada
MOH-81002	MOH-81002	Rideemaliyadda
MOH-81003	MOH-81003	Uva Paranagama
MOH-81004	MOH-81004	Haliela
MOH-81005	MOH-81005	Mahiyanganaya
MOH-81006	MOH-81006	Lunugala
MOH-81007	MOH-81007	Haputhale
MOH-81008	MOH-81008	Badulla
MOH-81009	MOH-81009	Soranathota
MOH-81010	MOH-81010	Haldummulla
MOH-81011	MOH-81011	Kandaketiya
MOH-81012	MOH-81012	Girandurukotte
MOH-81013	MOH-81013	Ella
MOH-81014	MOH-81014	Meegahakivula
MOH-81015	MOH-81015	Bandarawela
MOH-81016	MOH-81016	Passara
MOH-82001	MOH-82001	Thanamalwila
MOH-82002	MOH-82002	Monaragala
MOH-82003	MOH-82003	Bibila
MOH-82004	MOH-82004	Wellawaya
MOH-82005	MOH-82005	Buttala
MOH-82006	MOH-82006	Siyambalanduwa
MOH-82007	MOH-82007	Kataragama
MOH-82008	MOH-82008	Badalkumbura
MOH-82009	MOH-82009	Sevanagala
MOH-82010	MOH-82010	Madulla
MOH-91001	MOH-91001	AYAGAMA
MOH-91002	MOH-91002	BALANGODA
MOH-91003	MOH-91003	EHELIYAGODA
MOH-91004	MOH-91004	ELAPATHA
MOH-91005	MOH-91005	EMBILIPITIYA
MOH-91006	MOH-91006	GODAKAWELA
MOH-91007	MOH-91007	IMBULPE
MOH-91008	MOH-91008	KAHAWATHTHA
MOH-91009	MOH-91009	KALAWANA
MOH-91010	MOH-91010	KIRIELLA
MOH-91011	MOH-91011	KOLONNA
MOH-91012	MOH-91012	KURUWITA
MOH-91013	MOH-91013	NIVITHIGALA
MOH-91014	MOH-91014	OPANAYAKA
MOH-91015	MOH-91015	PELMADULLA
MOH-91016	MOH-91016	RATNAPURA-MC
MOH-91017	MOH-91017	RATNAPURA
MOH-91018	MOH-91018	WELIGEPOLA
MOH-92001	MOH-92001	ARANAYAKA
MOH-92002	MOH-92002	BULATHKOHUPITIYA
MOH-92003	MOH-92003	DEHIOVITA
MOH-92004	MOH-92004	DERANIYAGALA
MOH-92005	MOH-92005	GALIGAMUWA
MOH-92006	MOH-92006	KEGALLE
MOH-92007	MOH-92007	MAWANELLA
MOH-92008	MOH-92008	RAMBUKKANA
MOH-92009	MOH-92009	RUWANWELLA
MOH-92010	MOH-92010	WARAKAPOLA
MOH-92011	MOH-92011	YATIYANTHOTA
