id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-04E	Teldeniya	LK	LK-2	LK-21	EC-04	EC-04E	[7.302595940306715, 80.80027704844514]
EC-04F	Kundasale	LK	LK-2	LK-21	EC-04	EC-04F	[7.305341488933034, 80.70970841193027]
EC-04G	Hewaheta	LK	LK-2	LK-21	EC-04	EC-04G	[7.212243388427856, 80.70447344999494]
EC-04H	Senkadagala	LK	LK-2	LK-21	EC-04	EC-04H	[7.269523496414476, 80.64334774159107]
EC-04I	Mahanuwara	LK	LK-2	LK-21	EC-04	EC-04I	[7.288538770310729, 80.61886691419717]
EC-04J	Yatinuwara	LK	LK-2	LK-21	EC-04	EC-04J	[7.282447484726429, 80.53811383851324]
EC-04K	Udunuwara	LK	LK-2	LK-21	EC-04	EC-04K	[7.223046455110803, 80.56012769941805]
EC-04L	Gampola	LK	LK-2	LK-21	EC-04	EC-04L	[7.153544035254927, 80.62925230022898]
EC-04M	Nawalapitiya	LK	LK-2	LK-21	EC-04	EC-04M	[7.061159797808019, 80.53271336823009]
EC-05A	Dambulla	LK	LK-2	LK-22	EC-05	EC-05A	[7.824002957541659, 80.6660567486848]
EC-05B	Laggala	LK	LK-2	LK-22	EC-05	EC-05B	[7.6074295798619875, 80.80759081371615]
EC-05C	Matale	LK	LK-2	LK-22	EC-05	EC-05C	[7.544055701115982, 80.61029737351978]
EC-05D	Rattota	LK	LK-2	LK-22	EC-05	EC-05D	[7.461830638180052, 80.66563966425689]
EC-06A	Nuwara Eliya Maskeliya	LK	LK-2	LK-23	EC-06	EC-06A	[6.884484302690155, 80.65055959986083]
EC-06B	Kothmale	LK	LK-2	LK-23	EC-06	EC-06B	[7.039128846177052, 80.655280161566]
EC-06C	Hanguranketha	LK	LK-2	LK-23	EC-06	EC-06C	[7.119689234401371, 80.7779511669676]
EC-06D	Walapane	LK	LK-2	LK-23	EC-06	EC-06D	[7.094897151414673, 80.88685677607764]
EC-07A	Balapitiya	LK	LK-3	LK-31	EC-07	EC-07A	[6.314060551636422, 80.05115357189167]
EC-07B	Ambalangoda	LK	LK-3	LK-31	EC-07	EC-07B	[6.191176832767358, 80.12362421561843]
EC-07C	Karandeniya	LK	LK-3	LK-31	EC-07	EC-07C	[6.264314917453287, 80.13127458700743]
EC-07D	Bentara Elpitiya	LK	LK-3	LK-31	EC-07	EC-07D	[6.322219670639307, 80.146458869719]
EC-07E	Hiniduma	LK	LK-3	LK-31	EC-07	EC-07E	[6.299962155294056, 80.3401520754845]
EC-07F	Baddegama	LK	LK-3	LK-31	EC-07	EC-07F	[6.141591805451762, 80.31384220535604]
EC-07G	Ratgama	LK	LK-3	LK-31	EC-07	EC-07G	[6.140314410676374, 80.12280193226289]
EC-07H	Galle	LK	LK-3	LK-31	EC-07	EC-07H	[6.05368102432193, 80.20836801009351]
EC-07I	Akmeemana	LK	LK-3	LK-31	EC-07	EC-07I	[6.06666271198543, 80.26354765054177]
EC-07J	Habaraduwa	LK	LK-3	LK-31	EC-07	EC-07J	[6.018958164784628, 80.34123594828156]
EC-08A	Deniyaya	LK	LK-3	LK-32	EC-08	EC-08A	[6.291855224722956, 80.52505871576285]
EC-08B	Hakmana	LK	LK-3	LK-32	EC-08	EC-08B	[6.183643614270391, 80.60101355493815]
EC-08C	Akuressa	LK	LK-3	LK-32	EC-08	EC-08C	[6.11067680607077, 80.46660734900608]
EC-08D	Kamburupitiya	LK	LK-3	LK-32	EC-08	EC-08D	[6.044915340056696, 80.58798193663253]
EC-08E	Devinuwara	LK	LK-3	LK-32	EC-08	EC-08E	[5.981210841126097, 80.64893544295612]
EC-08F	Matara	LK	LK-3	LK-32	EC-08	EC-08F	[5.963103853056664, 80.56171561077399]
EC-08G	Weligama	LK	LK-3	LK-32	EC-08	EC-08G	[5.997992083964255, 80.44095292333036]
EC-09A	Mulkirigala	LK	LK-3	LK-33	EC-09	EC-09A	[6.215419449031415, 80.72122735968857]
EC-09B	Beliatta	LK	LK-3	LK-33	EC-09	EC-09B	[6.074198889252102, 80.72911694671218]
EC-09C	Tangalle	LK	LK-3	LK-33	EC-09	EC-09C	[6.145603934084633, 80.88311079757459]
