id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-4109	Valikamam South-West (Sandilipay)	[9.750608, 79.980903]	LK-4	LK-41	LK-4109	EC-10
LK-4112	Valikamam North (Tellipallai)	[9.788953, 80.040743]	LK-4	LK-41	LK-4112	EC-10
LK-4115	Valikamam South (Uduvil)	[9.744412, 80.034442]	LK-4	LK-41	LK-4115	EC-10
LK-4118	Valikamam East (Kopay)	[9.740129, 80.093314]	LK-4	LK-41	LK-4118	EC-10
LK-4121	Vadamaradchi South-West (Karaveddy)	[9.779597, 80.186081]	LK-4	LK-41	LK-4121	EC-10
LK-4124	Vadamaradchi East	[9.627061, 80.399342]	LK-4	LK-41	LK-4124	EC-10
LK-4127	Vadamaradchi North (Point Pedro)	[9.808338, 80.220296]	LK-4	LK-41	LK-4127	EC-10
LK-4130	Thenmaradchi (Chavakachcheri)	[9.673115, 80.191063]	LK-4	LK-41	LK-4130	EC-10
LK-4133	Nallur	[9.66806, 80.048869]	LK-4	LK-41	LK-4133	EC-10
LK-4136	Jaffna	[9.663054, 80.021508]	LK-4	LK-41	LK-4136	EC-10
LK-4139	Island South (Velanai)	[9.621494, 79.892911]	LK-4	LK-41	LK-4139	EC-10
LK-4142	Delft	[9.510374, 79.687714]	LK-4	LK-41	LK-4142	EC-10
LK-4203	Mannar Town	[8.991397, 79.88634]	LK-4	LK-42	LK-4203	EC-11
LK-4206	Manthai West	[9.027236, 80.111931]	LK-4	LK-42	LK-4206	EC-11
LK-4209	Madhu	[8.845257, 80.225324]	LK-4	LK-42	LK-4209	EC-11
LK-4212	Nanattan	[8.838861, 79.990426]	LK-4	LK-42	LK-4212	EC-11
LK-4215	Musali	[8.676405, 80.020706]	LK-4	LK-42	LK-4215	EC-11
LK-4303	Vavuniya North	[9.007359, 80.568786]	LK-4	LK-43	LK-4303	EC-11
LK-4306	Vavuniya South	[8.736457, 80.513666]	LK-4	LK-43	LK-4306	EC-11
LK-4309	Vavuniya	[8.833718, 80.456549]	LK-4	LK-43	LK-4309	EC-11
LK-4312	Vengalacheddikulam	[8.692202, 80.296924]	LK-4	LK-43	LK-4312	EC-11
LK-4403	Thunukkai	[9.221403, 80.286938]	LK-4	LK-44	LK-4403	EC-11
LK-4406	Manthai East	[9.052861, 80.309584]	LK-4	LK-44	LK-4406	EC-11
LK-4409	Puthukkudiyiruppu	[9.308156, 80.616136]	LK-4	LK-44	LK-4409	EC-11
LK-4412	Oddusuddan	[9.187263, 80.532005]	LK-4	LK-44	LK-4412	EC-11
LK-4415	Maritimepattu	[9.165108, 80.791878]	LK-4	LK-44	LK-4415	EC-11
LK-4418	Welioya	[8.975934, 80.770632]	LK-4	LK-44	LK-4418	EC-11
LK-4503	Pachchilaipalli	[9.587893, 80.35663]	LK-4	LK-45	LK-4503	EC-10
LK-4506	Kandavalai	[9.443373, 80.481488]	LK-4	LK-45	LK-4506	EC-10
LK-4509	Karachchi	[9.369732, 80.370251]	LK-4	LK-45	LK-4509	EC-10
LK-4512	Poonakary	[9.383997, 80.180377]	LK-4	LK-45	LK-4512	EC-10
LK-5103	Koralai Pattu North (Vaharai)	[8.084464, 81.394992]	LK-5	LK-51	LK-5103	EC-12
LK-5104	Koralai Pattu Central	[7.95982, 81.418318]	LK-5	LK-51	LK-5104	EC-12
LK-5106	Koralai Pattu  West (Oddamavadi)	[7.921998, 81.494206]	LK-5	LK-51	LK-5106	EC-12
LK-5109	Koralai Pattu (Valachchenai)	[7.906566, 81.545875]	LK-5	LK-51	LK-5109	EC-12
LK-5110	Koralai Pattu South (Kiran)	[7.861651, 81.376025]	LK-5	LK-51	LK-5110	EC-12
LK-5112	Eravur Pattu	[7.710045, 81.468166]	LK-5	LK-51	LK-5112	EC-12
LK-5115	Eravur Town	[7.777229, 81.605243]	LK-5	LK-51	LK-5115	EC-12
LK-5118	Manmunai North	[7.723674, 81.688092]	LK-5	LK-51	LK-5118	EC-12
LK-5121	Manmunai West	[7.632148, 81.597281]	LK-5	LK-51	LK-5121	EC-12
LK-5124	Kattankudy	[7.682747, 81.732119]	LK-5	LK-51	LK-5124	EC-12
LK-5127	Manmunai Pattu (Araipattai)	[7.639401, 81.753366]	LK-5	LK-51	LK-5127	EC-12
LK-5130	Manmunai South-West	[7.564352, 81.654595]	LK-5	LK-51	LK-5130	EC-12
LK-5133	Porativu Pattu	[7.499589, 81.706805]	LK-5	LK-51	LK-5133	EC-12
LK-5136	Manmunai South & Eruvil pattu	[7.521668, 81.791306]	LK-5	LK-51	LK-5136	EC-12
LK-5203	Dehiattakandiya	[7.623936, 81.086794]	LK-5	LK-52	LK-5203	EC-13
LK-5206	Padiyathalawa	[7.426948, 81.262254]	LK-5	LK-52	LK-5206	EC-13
LK-5209	Mahaoya	[7.562786, 81.348753]	LK-5	LK-52	LK-5209	EC-13
LK-5212	Uhana	[7.397683, 81.594146]	LK-5	LK-52	LK-5212	EC-13
LK-5215	Ampara	[7.272772, 81.591345]	LK-5	LK-52	LK-5215	EC-13
LK-5216	Navithanveli	[7.41321, 81.765563]	LK-5	LK-52	LK-5216	EC-13
LK-5218	Samanthurai	[7.327002, 81.763832]	LK-5	LK-52	LK-5218	EC-13
