id	lg_id	name	province_id	district_id	centroid
LG-23007	LG-23007	Thalawakele-Lindula UC	LK-2	LK-23	[6.929343745055628, 80.67221257264805]
LG-23008	LG-23008	Nuwara Eliya MC	LK-2	LK-23	[6.964230730178408, 80.77515846303488]
LG-23009	LG-23009	Ambagamuwa PS	LK-2	LK-23	[6.915956041207468, 80.5141191582783]
LG-23010	LG-23010	Maskeliya PS	LK-2	LK-23	[6.819124841457937, 80.5618072342772]
LG-23011	LG-23011	Hatton - Dickoya UC	LK-2	LK-23	[6.886645394344159, 80.56775780338619]
LG-23012	LG-23012	Norwood PS	LK-2	LK-23	[6.817397262436194, 80.66117050402659]
LG-31001	LG-31001	Bentota PS	LK-3	LK-31	[6.386771975717165, 80.05545355870781]
LG-31002	LG-31002	Balapitiya PS	LK-3	LK-31	[6.314060551636422, 80.05115357189187]
LG-31003	LG-31003	Karandeniya PS	LK-3	LK-31	[6.301087413192971, 80.10061874851114]
LG-31004	LG-31004	Elpitiya PS	LK-3	LK-31	[6.2902779181957005, 80.18658982736973]
LG-31005	LG-31005	Niyagama PS	LK-3	LK-31	[6.3024575945583665, 80.25233840769597]
LG-31006	LG-31006	Thawalama PS	LK-3	LK-31	[6.292959323325119, 80.35558372569933]
LG-31007	LG-31007	Neluwa PS	LK-3	LK-31	[6.360283867102839, 80.41071259627019]
LG-31008	LG-31008	Nagoda PS	LK-3	LK-31	[6.19973971273322, 80.31290137681611]
LG-31009	LG-31009	Baddegama PS	LK-3	LK-31	[6.136857689706432, 80.22055720683832]
LG-31010	LG-31010	Welivitiya-Divithura PS	LK-3	LK-31	[6.20638032640724, 80.18032796921639]
LG-31011	LG-31011	Ambalangoda MC	LK-3	LK-31	[6.243161382394547, 80.06627286380811]
LG-31012	LG-31012	Ambalangoda PS	LK-3	LK-31	[6.198849529635531, 80.11731005314992]
LG-31013	LG-31013	Rathgama PS	LK-3	LK-31	[6.1434121012657945, 80.12281199721099]
LG-31014	LG-31014	Hikkaduwa UC	LK-3	LK-31	[6.128470590020647, 80.12096247791519]
LG-31015	LG-31015	Bope-Poddala PS	LK-3	LK-31	[6.082466908578893, 80.21185891260083]
LG-31016	LG-31016	Galle MC	LK-3	LK-31	[6.048471608412566, 80.21549879868701]
LG-31017	LG-31017	Akmeemana PS	LK-3	LK-31	[6.059039487146674, 80.28363707182899]
LG-31018	LG-31018	Yakkalamulla PS	LK-3	LK-31	[6.106994849547429, 80.3595308513973]
LG-31019	LG-31019	Imaduwa PS	LK-3	LK-31	[6.032651570655569, 80.35843599382038]
