id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-09B	Beliatta	LK	LK-3	LK-33	EC-09	EC-09B	[6.0741988892521315, 80.72911694671254]
EC-09C	Tangalle	LK	LK-3	LK-33	EC-09	EC-09C	[6.145603934084631, 80.88311079757457]
EC-09D	Thissamaharama	LK	LK-3	LK-33	EC-09	EC-09D	[6.319592042384828, 81.26795050214886]
EC-10A	Kayts	LK	LK-4	LK-41	EC-10	EC-10A	[9.64663888544574, 80.10536810032164]
EC-10B	Vaddukoddai	LK	LK-4	LK-41	EC-10	EC-10B	[9.742501411490114, 79.9283312229446]
EC-10C	Kankesanthurai	LK	LK-4	LK-41	EC-10	EC-10C	[9.78949497735541, 79.97787081581505]
EC-10D	Manipay	LK	LK-4	LK-41	EC-10	EC-10D	[9.731573458826904, 80.00729603638183]
EC-10E	Kopay	LK	LK-4	LK-41	EC-10	EC-10E	[9.741606555992243, 80.09136097059294]
EC-10F	Udupiddy	LK	LK-4	LK-41	EC-10	EC-10F	[9.796160836159155, 80.17889258505498]
EC-10G	Point Pedro	LK	LK-4	LK-41	EC-10	EC-10G	[9.806472756218838, 80.23246458828443]
EC-10H	Chavakachcheri	LK	LK-4	LK-41	EC-10	EC-10H	[9.674061341435431, 80.19181377523464]
EC-10I	Nallur	LK	LK-4	LK-41	EC-10	EC-10I	[9.681873312708944, 80.03313796721426]
EC-10J	Jaffna	LK	LK-4	LK-41	EC-10	EC-10J	[9.663160213933983, 80.02158400688336]
EC-10K	Kilinochchi	LK	LK-4	LK-45	EC-10	EC-10K	[9.416281200923738, 80.33810168947649]
EC-11A	Mannar	LK	LK-4	LK-42	EC-11	EC-11A	[8.855985112289668, 80.08474746278246]
EC-11B	Vavuniya	LK	LK-4	LK-43	EC-11	EC-11B	[8.854284616272935, 80.46814010104106]
EC-11C	Mullaitivu	LK	LK-4	LK-44	EC-11	EC-11C	[9.170311160450979, 80.5430995211863]
EC-12A	Kalkudah	LK	LK-5	LK-51	EC-12	EC-12A	[7.892367575980289, 81.40433157087591]
EC-12B	Batticaloa	LK	LK-5	LK-51	EC-12	EC-12B	[7.654834146661933, 81.56079716847469]
