id	lg_id	name	province_id	district_id
LG-31020	LG-31020	Habaraduwa PS	LK-3	LK-31
LG-32001	LG-32001	Pitabeddara PS	LK-3	LK-32
LG-32002	LG-32002	Kotapola PS	LK-3	LK-32
LG-32003	LG-32003	Pasgoda PS	LK-3	LK-32
LG-32004	LG-32004	Mulatiyana PS	LK-3	LK-32
LG-32005	LG-32005	Athuraliya PS	LK-3	LK-32
LG-32006	LG-32006	Akuressa PS	LK-3	LK-32
LG-32007	LG-32007	Weligama PS	LK-3	LK-32
LG-32008	LG-32008	Malimbada PS	LK-3	LK-32
LG-32009	LG-32009	Kamburupitiya PS	LK-3	LK-32
LG-32010	LG-32010	Hakmana PS	LK-3	LK-32
LG-32011	LG-32011	Kirinda Puhulwella PS	LK-3	LK-32
LG-32012	LG-32012	Thihagoda PS	LK-3	LK-32
LG-32013	LG-32013	Weligama UC	LK-3	LK-32
LG-32014	LG-32014	Matara PS	LK-3	LK-32
LG-32015	LG-32015	Matara MC	LK-3	LK-32
LG-32016	LG-32016	Devinuwara PS	LK-3	LK-32
LG-32017	LG-32017	Dickwella PS	LK-3	LK-32
LG-33001	LG-33001	Sooriyawewa PS	LK-3	LK-33
LG-33002	LG-33002	Lunugamvehera PS	LK-3	LK-33
LG-33003	LG-33003	Tissamaharama PS	LK-3	LK-33
LG-33004	LG-33004	Hambantota PS	LK-3	LK-33
LG-33005	LG-33005	Hambantota MC	LK-3	LK-33
LG-33006	LG-33006	Ambalantota PS	LK-3	LK-33
LG-33007	LG-33007	Angunakolapelessa PS	LK-3	LK-33
LG-33008	LG-33008	Weeraketiya PS	LK-3	LK-33
LG-33009	LG-33009	Katuwana PS	LK-3	LK-33
LG-33010	LG-33010	Beliatta PS	LK-3	LK-33
LG-33011	LG-33011	Tangalla PS	LK-3	LK-33
LG-33012	LG-33012	Tangalla UC	LK-3	LK-33
LG-41001	LG-41001	Kayts PS	LK-4	LK-41
LG-41002	LG-41002	Karainagar PS	LK-4	LK-41
LG-41003	LG-41003	Valikamam West PS	LK-4	LK-41
LG-41004	LG-41004	Valikamam South-West PS	LK-4	LK-41
LG-41005	LG-41005	Valikamam North PS	LK-4	LK-41
LG-41006	LG-41006	Valikamam South PS	LK-4	LK-41
LG-41007	LG-41007	Valikamam East PS	LK-4	LK-41
LG-41008	LG-41008	Vadamaradchy South-West PS	LK-4	LK-41
LG-41009	LG-41009	Valvettithurai UC	LK-4	LK-41
LG-41010	LG-41010	Point Pedro PS	LK-4	LK-41
LG-41011	LG-41011	Point Pedro UC	LK-4	LK-41
LG-41012	LG-41012	Chavakachcheri PS	LK-4	LK-41
LG-41013	LG-41013	Chavakachcheri UC	LK-4	LK-41
LG-41014	LG-41014	Nallur PS	LK-4	LK-41
LG-41015	LG-41015	Jaffna MC	LK-4	LK-41
LG-41016	LG-41016	Velanai PS	LK-4	LK-41
LG-41017	LG-41017	Delft PS	LK-4	LK-41
LG-42001	LG-42001	Mannar PS	LK-4	LK-42
LG-42002	LG-42002	Mannar UC	LK-4	LK-42
LG-42003	LG-42003	Manthai West PS	LK-4	LK-42
LG-42004	LG-42004	Nanattan PS	LK-4	LK-42
LG-42005	LG-42005	Musali PS	LK-4	LK-42
LG-43001	LG-43001	Vavuniya North PS	LK-4	LK-43
LG-43002	LG-43002	Vavuniya South (Sinhala) PS	LK-4	LK-43
LG-43003	LG-43003	Vavuniya South (Tamil) PS	LK-4	LK-43
LG-43004	LG-43004	Vavuniya UC	LK-4	LK-43
LG-43005	LG-43005	Vengalacheddikulam PS	LK-4	LK-43
LG-44001	LG-44001	Thunukkai PS	LK-4	LK-44
LG-44002	LG-44002	Manthai East PS	LK-4	LK-44
LG-44003	LG-44003	Puthukudiyiruppu PS	LK-4	LK-44
LG-44004	LG-44004	Maritimepattu PS	LK-4	LK-44
LG-45001	LG-45001	Pachchilaipalli PS	LK-4	LK-45
LG-45002	LG-45002	Karachchi PS	LK-4	LK-45
LG-45003	LG-45003	Poonakary PS	LK-4	LK-45
LG-51001	LG-51001	Koralai Pattu North PS	LK-5	LK-51
LG-51002	LG-51002	Koralai Pattu West PS	LK-5	LK-51
LG-51003	LG-51003	Koralai Pattu PS	LK-5	LK-51
LG-51004	LG-51004	Eravur Pattu PS	LK-5	LK-51
LG-51005	LG-51005	Eravur UC	LK-5	LK-51
LG-51006	LG-51006	Batticaloa MC	LK-5	LK-51
LG-51007	LG-51007	Manmunai West PS	LK-5	LK-51
LG-51008	LG-51008	Kattankudy UC	LK-5	LK-51
LG-51009	LG-51009	Manmunai Pattu PS	LK-5	LK-51
LG-51010	LG-51010	Manmunai South-West PS	LK-5	LK-51
LG-51011	LG-51011	Poratheevu Pattu PS	LK-5	LK-51
LG-51012	LG-51012	Manmunai South & Eruvil pattu PS	LK-5	LK-51
LG-52001	LG-52001	Dehiattakandiya PS	LK-5	LK-52
LG-52002	LG-52002	Padiyathalawa PS	LK-5	LK-52
LG-52003	LG-52003	Mahaoya PS	LK-5	LK-52
LG-52004	LG-52004	Uhana PS	LK-5	LK-52
LG-52005	LG-52005	Namaloya PS	LK-5	LK-52
LG-52006	LG-52006	Ampara UC	LK-5	LK-52
LG-52007	LG-52007	Navithanveli PS	LK-5	LK-52
